AirportID,IATACode,ICAOCode,Name,LocationID,CreatedAt,UpdatedAt
28,ADA,LZYG,Miller Ltd Airport,1398375093,1747274438,1747274438
29,KQE,YDSW,Andrews PLC Airport,1643863467,1747274438,1747274438
30,QDY,VYVP,Huff-Neal Airport,1356501701,1747274438,1747274438
31,ECA,VVNB,"Jimenez, Herrera and Singleton Airport",1840009262,1747274438,1747274438
32,FWN,TKHO,Wells LLC Airport,1156756753,1747274438,1747274438
33,KSY,OAQN,Munoz LLC Airport,1608536412,1747274438,1747274438
34,TZT,OMYQ,"Watts, Jones and Jimenez Airport",1826077098,1747274438,1747274438
35,NYH,BFIT,Schaefer and Sons Airport,1076692421,1747274438,1747274438
36,NTZ,VUSG,Martinez PLC Airport,1076024908,1747274438,1747274438
37,FVB,HOCS,"Mathews, Terrell and Dennis Airport",1356139514,1747274438,1747274438
38,ISJ,RHNJ,"Todd, Yu and Bullock Airport",1012875763,1747274438,1747274438
39,ENE,SMFG,Soto Group Airport,1076821934,1747274438,1747274438
40,VXC,EFRP,"Blankenship, Davila and Patterson Airport",1643594058,1747274438,1747274438
41,MAY,KCEJ,Williams and Sons Airport,1862292462,1747274438,1747274438
42,VMI,DLYQ,"Lamb, Walker and Quinn Airport",1356276951,1747274438,1747274438
43,YBH,SPEY,Parks-Olson Airport,1076786475,1747274438,1747274438
44,QTS,AGBO,Diaz-Turner Airport,1152001741,1747274438,1747274438
45,TFW,OWUC,Bell and Sons Airport,1703400453,1747274438,1747274438
46,HDK,,King PLC Airport,1076981625,1747274438,1747274438
47,NPY,NXMV,"Hess, Cabrera and Norton Airport",1630035683,1747274438,1747274438
48,RJA,JKSR,Morales Group Airport,1276867372,1747274438,1747274438
49,FCT,,"Sandoval, Greene and Patterson Airport",1728842249,1747274438,1747274438
50,MKU,GPIF,"Franklin, Stanley and Adams Airport",1156017438,1747274438,1747274438
51,GKE,ALKM,"Robbins, Brown and Mata Airport",1840005837,1747274438,1747274438
52,JOT,QOSW,Ward LLC Airport,1826286160,1747274438,1747274438
53,ETP,SUAW,Torres Ltd Airport,1076002633,1747274438,1747274438
54,JWR,ZRBY,Brown-Bailey Airport,1840001935,1747274438,1747274438
55,DSE,DHYX,"Hall, Mason and Petty Airport",1858127354,1747274438,1747274438
56,JJV,UFMH,Chavez-Maynard Airport,1840053528,1747274438,1747274438
57,CGU,JPKC,Chavez Inc Airport,1643050793,1747274438,1747274438
58,UKG,KIPP,Davis LLC Airport,1356607430,1747274438,1747274438
59,IAG,,Chung-Ingram Airport,1840058454,1747274438,1747274438
60,HPC,YFMP,Bass Group Airport,1032758065,1747274438,1747274438
61,VMW,OEPS,"Long, Smith and Howell Airport",1276964065,1747274438,1747274438
62,VEN,,Brown-Baker Airport,1840011311,1747274438,1747274438
63,MWW,DMQD,Miller LLC Airport,1450415670,1747274438,1747274438
64,OKO,,Fields PLC Airport,1356756110,1747274438,1747274438
65,SLZ,DJGO,"Harris, Contreras and Sanchez Airport",1076799533,1747274438,1747274438
66,SGY,PEJQ,"Porter, Chang and Rodriguez Airport",1056180426,1747274438,1747274438
67,RDV,BJWV,"Cline, Cooper and Cole Airport",1392003484,1747274438,1747274438
68,LBH,HAQS,Powell-Walters Airport,1724606295,1747274438,1747274438
69,AQK,BKPG,Allen-Evans Airport,1156588017,1747274438,1747274438
70,HLN,,Gonzalez Group Airport,1012066745,1747274438,1747274438
71,GZJ,WOGB,Byrd Ltd Airport,1860558228,1747274438,1747274438
72,OVB,KAON,Chambers-Smith Airport,1356917560,1747274438,1747274438
73,NRG,PLNX,Douglas-Jordan Airport,1124000696,1747274438,1747274438
74,OQO,,Lowery-Johnson Airport,1356213954,1747274438,1747274438
75,PGI,ITAZ,Ruiz-Smith Airport,1392703321,1747274438,1747274438
76,WCV,ETHV,Norris Ltd Airport,1620416709,1747274438,1747274438
77,QQH,,"Hall, Robertson and Ali Airport",1364107935,1747274438,1747274438
78,GKG,ONBH,Bowman LLC Airport,1356668148,1747274438,1747274438
79,KQD,GPRP,Wyatt-Montoya Airport,1380143500,1747274438,1747274438
80,PTW,NPVW,White-Caldwell Airport,1356727665,1747274438,1747274438
81,WCT,IGOM,Ramos LLC Airport,1356284058,1747274438,1747274438
82,HHA,COQX,"Jimenez, Rice and Reeves Airport",1840006095,1747274438,1747274438
83,URA,PBSG,"Hanson, Roberts and Walker Airport",1840015914,1747274438,1747274438
84,TAI,UUTV,"Mcclure, Miller and Parker Airport",1643575087,1747274438,1747274438
85,PQK,WGIQ,Smith and Sons Airport,1804050857,1747274438,1747274438
86,GKA,,Hernandez PLC Airport,1484688256,1747274438,1747274438
87,POL,,"Pitts, Johnson and Trevino Airport",1840147154,1747274438,1747274438
88,LOZ,EXKL,Jensen-Campos Airport,1840053495,1747274438,1747274438
89,YNI,RMGI,Mckinney LLC Airport,1710137724,1747274438,1747274438
90,LDP,QYKA,"Thompson, Peterson and Yu Airport",1434398590,1747274438,1747274438
91,UYA,EPFI,Sutton Ltd Airport,1208809285,1747274438,1747274438
92,AIU,ZIUS,Parker-Hudson Airport,1124000881,1747274438,1747274438
93,RBK,MZWQ,"Valdez, Smith and Tyler Airport",1643894191,1747274438,1747274438
94,OQI,GVDJ,Ramirez and Sons Airport,1032749991,1747274438,1747274438
95,TYQ,GJPF,Williams Group Airport,1320474320,1747274438,1747274438
96,RGQ,,"May, Sullivan and Parker Airport",1840005848,1747274438,1747274438
97,LOD,AXNO,Anderson Group Airport,1356860757,1747274438,1747274438
98,XZW,GDTV,Ruiz-Turner Airport,1840106247,1747274438,1747274438
99,ZEN,DPDX,Boyer-Clark Airport,1756628529,1747274438,1747274438
100,ZPW,KOFN,"Barrett, Jones and Robinson Airport",1764249203,1747274438,1747274438
101,KPL,ZFHP,Cannon Group Airport,1246651024,1747274438,1747274438
102,YMC,SDBW,Blanchard-Howard Airport,1158285063,1747274438,1747274438
103,GRE,HLHX,Taylor-Brown Airport,1380933305,1747274438,1747274438
104,VMS,,"Moore, Donaldson and Kelly Airport",1840013129,1747274438,1747274438
105,FWF,,Young-Strong Airport,1356357879,1747274438,1747274438
106,EGN,EGUE,Craig Ltd Airport,1214664832,1747274438,1747274438
107,VJL,JAEV,"Vega, Stewart and Cordova Airport",1566287704,1747274438,1747274438
108,WFU,UYMP,"Ortiz, Wells and Evans Airport",1620042884,1747274438,1747274438
109,VLD,,Wells Group Airport,1068271533,1747274438,1747274438
110,XZI,DBZI,Anderson-Hunter Airport,1076456541,1747274438,1747274438
111,ROX,CZUO,"Olson, Sanchez and Alexander Airport",1076806368,1747274438,1747274438
112,EPT,HGTY,Walker Inc Airport,1356010401,1747274438,1747274438
113,DGA,UYFN,Jenkins Ltd Airport,1156762337,1747274438,1747274438
114,ERI,NWVY,"Shelton, Wall and Mejia Airport",1807663389,1747274438,1747274438
115,CTW,,Smith-Jones Airport,1124760634,1747274438,1747274438
116,JKG,,"Caldwell, Thompson and Galloway Airport",1800000051,1747274438,1747274438
117,FQR,FLOJ,Nelson PLC Airport,1032459875,1747274438,1747274438
118,WHH,CTHS,Green-Hunter Airport,1392837884,1747274438,1747274438
119,GDW,,Bishop LLC Airport,1250936350,1747274438,1747274438
120,UDS,LRRX,Thompson-Henry Airport,1840010171,1747274438,1747274438
121,KWE,AWFK,Smith-Stevens Airport,1156452678,1747274438,1747274438
122,ICA,APNL,"Jackson, Jones and Thompson Airport",1894410334,1747274438,1747274438
123,ZYA,YGHK,Spencer and Sons Airport,1356819642,1747274438,1747274438
124,RYB,YKQR,Hobbs LLC Airport,1356781800,1747274438,1747274438
125,HQN,VAQA,"Smith, Carroll and Arias Airport",1724381446,1747274438,1747274438
126,RYQ,YMTI,"Palmer, Smith and Beck Airport",1356098210,1747274438,1747274438
127,AOU,DFXC,Gregory and Sons Airport,1356131164,1747274438,1747274438
128,SYE,QODB,Martin-Gibson Airport,1204660302,1747274438,1747274438
129,ITQ,WCUU,Cantu-Spence Airport,1643819695,1747274438,1747274438
130,KTX,TGRI,"Lynch, Wright and Mccarty Airport",1356659730,1747274438,1747274438
131,EYL,BSRX,Giles Ltd Airport,1276325506,1747274438,1747274438
132,EJP,VTFU,Decker and Sons Airport,1076635792,1747274438,1747274438
133,DDU,PVUM,Gonzales-Bowen Airport,1840015458,1747274438,1747274438
134,WOE,,"Holland, Brown and Brown Airport",1724052917,1747274438,1747274438
135,FGQ,HCTZ,Wright-Neal Airport,1826705684,1747274438,1747274438
136,ASE,,Acosta Ltd Airport,1356177796,1747274438,1747274438
137,AWQ,KGLX,Harrison-Rush Airport,1222133372,1747274438,1747274438
138,VKT,CMAT,Rodriguez-Williams Airport,1608149999,1747274438,1747274438
139,UNQ,ORRT,"Simmons, Young and Evans Airport",1422307255,1747274438,1747274438
140,ZGB,LAWU,Mays-Lindsey Airport,1356059135,1747274438,1747274438
141,WUG,NDMH,Becker PLC Airport,1642044399,1747274438,1747274438
142,WFH,WVPA,Douglas-Clements Airport,1762947574,1747274438,1747274438
143,SUO,LPBN,Barber-Cohen Airport,1795413265,1747274438,1747274438
144,JHY,SWID,Dunn-Dixon Airport,1031708980,1747274438,1747274438
145,GMS,AOLM,Johnson Group Airport,1156246794,1747274438,1747274438
146,WFB,,"Riggs, Hernandez and Martin Airport",1894907880,1747274438,1747274438
147,HCE,,Tate-Cruz Airport,1643006557,1747274438,1747274438
148,WAQ,MHAR,"Romero, Garcia and Keller Airport",1356877324,1747274438,1747274438
149,QFO,HCBH,Shepherd-Kent Airport,1356007727,1747274438,1747274438
150,ACI,YZET,Williams and Sons Airport,1156963615,1747274438,1747274438
151,NZO,,Davis-Ramirez Airport,1124000537,1747274438,1747274438
152,RAN,,Garcia LLC Airport,1792753596,1747274438,1747274438
153,SVH,PNKJ,"Francis, Mcfarland and Curtis Airport",1729435342,1747274438,1747274438
154,TCP,,"Bell, Russell and Cummings Airport",1804652754,1747274438,1747274438
155,SMT,MLYE,Miller-Vega Airport,1250221865,1747274438,1747274438
156,KIO,PVCV,"Serrano, Kerr and Sullivan Airport",1356787651,1747274438,1747274438
157,ODW,FMGE,Maxwell-Wong Airport,1586033429,1747274438,1747274438
158,YXQ,CYNJ,"Hart, Quinn and Ross Airport",1608001625,1747274438,1747274438
159,VMQ,HRYD,White LLC Airport,1356458902,1747274438,1747274438
160,GSF,GLUK,Anderson Group Airport,1706568226,1747274438,1747274438
161,POR,,Meyer and Sons Airport,1694085071,1747274438,1747274438
162,CTV,,Powell Ltd Airport,1364072799,1747274438,1747274438
163,VTU,NEKN,"Wyatt, Riley and Higgins Airport",1642519468,1747274438,1747274438
164,ZPR,DJXE,Garcia-Mendez Airport,1704210026,1747274438,1747274438
165,QTZ,WMNZ,Brown LLC Airport,1724977150,1747274438,1747274438
166,UTT,FKAQ,"Henry, Mccall and Wallace Airport",1450285321,1747274438,1747274438
167,JQO,AJUV,Reynolds-White Airport,1792560571,1747274438,1747274438
168,HPP,THIF,"Cruz, Gutierrez and Walker Airport",1356746876,1747274438,1747274438
169,NYB,UJSG,"Kirk, Kirby and Stevens Airport",1466460537,1747274438,1747274438
170,INZ,QNLT,"Lewis, Robinson and Sanchez Airport",1826014873,1747274438,1747274438
171,DZD,VJAF,"Ellis, White and Stanley Airport",1392003456,1747274438,1747274438
172,TJM,FYFX,"Martinez, Rowe and Scott Airport",1862507661,1747274438,1747274438
173,DVI,NHCK,"Day, Jones and Zamora Airport",1788007460,1747274438,1747274438
174,MDM,LZWM,Mcdonald Inc Airport,1356373497,1747274438,1747274438
175,CEA,YOER,Vaughn PLC Airport,1760649932,1747274438,1747274438
176,AVS,WCYL,Lopez Ltd Airport,1795817680,1747274438,1747274438
177,OLK,XYUS,"Estrada, Hall and Holloway Airport",1484006654,1747274438,1747274438
178,NGZ,IXPA,Smith-Ford Airport,1724767687,1747274438,1747274438
179,XCP,IXLI,"White, Ramirez and Thomas Airport",1360673840,1747274438,1747274438
180,HCZ,RSDR,"Arroyo, Rich and Young Airport",1729229371,1747274438,1747274438
181,BVN,,"Miller, Strickland and Cobb Airport",1376222772,1747274438,1747274438
182,FZW,VVKF,"Peterson, Vaughn and Poole Airport",1616174794,1747274438,1747274438
183,XWV,LMXJ,"Ruiz, Robinson and Reyes Airport",1036214023,1747274438,1747274438
184,ZBC,ENOZ,Long Group Airport,1840010091,1747274438,1747274438
185,HMG,KIKQ,Harrington Inc Airport,1356238764,1747274438,1747274438
186,DDH,SAXD,Bennett-Crane Airport,1356838839,1747274438,1747274438
187,AMB,,"Mendez, Hogan and Burke Airport",1356423371,1747274438,1747274438
188,ESK,KQHM,"Anderson, Mcdaniel and Moore Airport",1076508566,1747274438,1747274438
189,ZXR,RBFM,Young-Hanson Airport,1674546686,1747274438,1747274438
190,NOH,BQSC,Carpenter-Walton Airport,1608099364,1747274438,1747274438
191,KJZ,GAUW,"Henry, Gonzalez and Mercado Airport",1156440328,1747274438,1747274438
192,ABV,LZHW,Holt Group Airport,1840081723,1747274438,1747274438
193,CWB,YISR,Fox and Sons Airport,1484944309,1747274438,1747274438
194,KAZ,GMUY,Kline Ltd Airport,1356055941,1747274438,1747274438
195,MSS,OBGU,Stevens Group Airport,1710136226,1747274438,1747274438
196,HNG,,Simmons and Sons Airport,1068106383,1747274438,1747274438
197,LLM,ZGQN,"Cline, Wilson and Tanner Airport",1578001449,1747274438,1747274438
198,JFS,,Herrera-White Airport,1704272342,1747274438,1747274438
199,BRE,WBRM,"Carrillo, Melton and Alexander Airport",1724212697,1747274438,1747274438
200,YIF,DJTY,Fox-Ortiz Airport,1250476491,1747274438,1747274438
201,OAJ,TCBZ,Taylor-Sparks Airport,1276943810,1747274438,1747274438
202,RZE,KAPQ,"Gallagher, Cruz and Williams Airport",1356094914,1747274438,1747274438
203,GKF,XEBB,Mayer and Sons Airport,1380203469,1747274438,1747274438
204,DXX,UXQB,Fitzpatrick-Morgan Airport,1458036872,1747274438,1747274438
205,IXD,PVQH,Patterson-Mccall Airport,1620421310,1747274438,1747274438
206,UAX,OPEX,Anderson Group Airport,1840007024,1747274438,1747274438
207,FIL,,Suarez PLC Airport,1356046821,1747274438,1747274438
208,UUT,WPPU,"Mcgrath, Terry and Barron Airport",1608001640,1747274438,1747274438
209,SAM,,Kramer and Sons Airport,1840014155,1747274438,1747274438
210,KXY,JGIE,"Mooney, Hartman and Bernard Airport",1484535200,1747274438,1747274438
211,LAK,YBCJ,"Johnson, Flynn and Roberts Airport",1156442510,1747274438,1747274438
212,ZOH,IHXF,"Charles, Mendez and Lambert Airport",1380953307,1747274438,1747274438
213,UZL,ZHPG,Duarte-Boyer Airport,1643092677,1747274438,1747274438
214,CVC,HOWD,"Gregory, Carney and Jones Airport",1076696534,1747274438,1747274438
215,PNZ,EHYO,"Santiago, Summers and Silva Airport",1156787307,1747274438,1747274438
216,BOS,OWXX,Fox Ltd Airport,1356531281,1747274438,1747274438
217,NTI,WEST,Barr Ltd Airport,1250274664,1747274438,1747274438
218,EHU,WOQH,White PLC Airport,1504656119,1747274438,1747274438
219,BWL,NCZP,Clark-Sellers Airport,1840041732,1747274438,1747274438
220,NKR,VFTH,Powers-Williams Airport,1056661894,1747274438,1747274438
221,FEM,GKXP,"Juarez, Curry and Macias Airport",1368000434,1747274438,1747274438
222,ISP,MEWE,Hickman-Barnes Airport,1710379982,1747274438,1747274438
223,NWW,IXXH,Mitchell-Gonzalez Airport,1450047713,1747274438,1747274438
224,PXD,UAJK,Ingram PLC Airport,1276903490,1747274438,1747274438
225,IHL,,"Sanchez, Brown and Mack Airport",1380463262,1747274438,1747274438
226,KDX,,"Salinas, Morgan and Rivera Airport",1356645188,1747274438,1747274438
227,VRH,PRVS,Ryan and Sons Airport,1840014054,1747274438,1747274438
228,XVA,RSEI,Rivera-Bowen Airport,1558059313,1747274438,1747274438
229,UVW,QHRY,Marshall PLC Airport,1788874932,1747274438,1747274438
230,ZMH,OOHP,Murphy-Forbes Airport,1300398756,1747274438,1747274438
231,KVT,EGYR,Palmer-Thompson Airport,1036773118,1747274438,1747274438
232,GXG,TUPK,Hall-Berger Airport,1840020457,1747274438,1747274438
233,CSZ,NRRN,Rivera-Higgins Airport,1840010146,1747274438,1747274438
234,ULI,YAXN,White-Moore Airport,1076389482,1747274438,1747274438
235,MHZ,BSKN,Castillo Ltd Airport,1840034002,1747274438,1747274438
236,PDG,KUHE,Ritter-Johnson Airport,1356692198,1747274438,1747274438
237,UEB,HWMX,"Dunn, James and Avila Airport",1356019758,1747274438,1747274438
238,EHR,MYOT,Cole-Russell Airport,1840000777,1747274438,1747274438
239,GBQ,AENZ,"Bean, Moore and Herrera Airport",1356375658,1747274438,1747274438
240,DPN,TVZH,Richardson-Wolfe Airport,1840001247,1747274438,1747274438
241,SUD,,"West, Morgan and Campbell Airport",1024281729,1747274438,1747274438
242,PSS,DPUP,"Wallace, Owens and Howell Airport",1578311049,1747274438,1747274438
243,LLP,,Chapman-Porter Airport,1356014572,1747274438,1747274438
244,ZXS,WKSX,"Taylor, Little and Hanson Airport",1356256486,1747274438,1747274438
245,RGN,LHBF,"Whitaker, Murphy and Rojas Airport",1380175887,1747274438,1747274438
246,GKX,NEQJ,Sweeney Inc Airport,1466830019,1747274438,1747274438
247,NXM,,Jones Inc Airport,1643020514,1747274438,1747274438
248,THW,ZEGR,Clark-Norton Airport,1716210091,1747274438,1747274438
249,HWZ,NKZY,"Gomez, Hunter and Wade Airport",1356745818,1747274438,1747274438
250,UBC,VTQA,French LLC Airport,1620848791,1747274438,1747274438
251,SSD,NATN,Robinson-Mann Airport,1250154239,1747274438,1747274438
252,RMY,RQZL,Bowman PLC Airport,1056715271,1747274438,1747274438
253,KKG,LUEY,Gray Ltd Airport,1276612143,1747274438,1747274438
254,GED,BUNN,"Doyle, Perez and Mcintosh Airport",1826537250,1747274438,1747274438
255,VNG,BXUR,Bryant-Russell Airport,1356725656,1747274438,1747274438
256,KQW,EAHG,"Russell, Espinoza and Garcia Airport",1214004418,1747274438,1747274438
257,XQA,CWRB,Martinez-Manning Airport,1356135817,1747274438,1747274438
258,UES,KZYH,"Fisher, Huffman and Raymond Airport",1356922416,1747274438,1747274438
259,QXC,MCRV,"Payne, Fritz and Colon Airport",1840014823,1747274438,1747274438
260,OKU,DQTK,Friedman-Stokes Airport,1124000639,1747274438,1747274438
261,RCB,YSTV,"Crane, Smith and Sawyer Airport",1840052942,1747274438,1747274438
262,SGQ,AJYK,Adams and Sons Airport,1392577247,1747274438,1747274438
263,TAT,BWRW,Lewis-Gomez Airport,1380875925,1747274438,1747274438
264,YEP,TFAX,"Martinez, Spencer and Lewis Airport",1729566926,1747274438,1747274438
265,ZDC,OGTX,Mitchell-Dean Airport,1688832387,1747274438,1747274438
266,DXI,RXYM,Johns-Rowe Airport,1504656724,1747274438,1747274438
267,DGR,VWJR,Floyd Inc Airport,1840018736,1747274438,1747274438
268,CNS,OWAV,"Williams, Guerrero and Sullivan Airport",1012151355,1747274438,1747274438
269,IMV,TYWG,Cox and Sons Airport,1608759660,1747274438,1747274438
270,APA,,"Hurley, Black and Wood Airport",1120803808,1747274438,1747274438
271,DEW,IOQO,Stone Group Airport,1516958242,1747274438,1747274438
272,ZGW,ZFJM,"Alvarez, Harrison and Tanner Airport",1356823994,1747274438,1747274438
273,OQS,VFYX,"Davila, Perez and Thomas Airport",1608373072,1747274438,1747274438
274,ANK,MUYS,Douglas PLC Airport,1170201750,1747274438,1747274438
275,RVN,CDHE,Hogan-Brown Airport,1356967057,1747274438,1747274438
276,IMR,OQCP,"Johnson, Gilbert and Tyler Airport",1800010095,1747274438,1747274438
277,ZTN,FUHF,Robertson PLC Airport,1380330990,1747274438,1747274438
278,PEM,,"Hobbs, Ferguson and Reed Airport",1792069149,1747274438,1747274438
279,PNW,,"Hamilton, Evans and Park Airport",1792318472,1747274438,1747274438
280,JTA,,Harris Inc Airport,1188355031,1747274438,1747274438
281,MWH,ADYJ,Leach LLC Airport,1050280343,1747274438,1747274438
282,KEF,,Schwartz-Dougherty Airport,1356050049,1747274438,1747274438
283,OMT,YTJL,Payne PLC Airport,1276291183,1747274438,1747274438
284,USP,SFFZ,Johnson PLC Airport,1380406444,1747274438,1747274438
285,VUT,UZQW,Powell Inc Airport,1170388042,1747274438,1747274438
286,LSR,ZKMZ,Castro Inc Airport,1417055245,1747274438,1747274438
287,ABW,PMWO,Stanton-Brown Airport,1356143594,1747274438,1747274438
288,BLE,GXUD,"Welch, Lambert and Sanchez Airport",1804267976,1747274438,1747274438
289,BCK,SKHX,"Garcia, Turner and Jacobs Airport",1392642279,1747274438,1747274438
290,QON,IZRP,Torres-Meadows Airport,1380489248,1747274438,1747274438
291,AMC,ABSR,"Mclean, Hodge and Reynolds Airport",1276508515,1747274438,1747274438
292,AGE,ELIJ,"Cervantes, Taylor and Banks Airport",1356948136,1747274438,1747274438
293,RVT,CNGG,Cobb Group Airport,1360892611,1747274438,1747274438
294,DDS,HLIQ,Miranda LLC Airport,1076169132,1747274438,1747274438
295,NRC,GSAO,Hernandez-Sweeney Airport,1144464659,1747274438,1747274438
296,QUL,LZKW,Reyes PLC Airport,1356080533,1747274438,1747274438
297,HND,,Lambert and Sons Airport,1504240446,1747274438,1747274438
298,PZM,QYDT,Daniels Ltd Airport,1024585667,1747274438,1747274438
299,UJK,BPBE,Cowan and Sons Airport,1392071838,1747274438,1747274438
300,OCP,CTSI,Thompson-Long Airport,1356104820,1747274438,1747274438
301,VXE,WIAC,"Lee, Bowman and Parks Airport",1356064226,1747274438,1747274438
302,SYS,XSJU,Taylor LLC Airport,1360546099,1747274438,1747274438
303,VYO,SAUN,"Phillips, Hart and Davis Airport",1276933669,1747274438,1747274438
304,KNG,WDQR,Smith-Brown Airport,1608750917,1747274438,1747274438
305,QMU,NVDN,Collins LLC Airport,1276091414,1747274438,1747274438
306,HGG,LAYP,Wood-Payne Airport,1450516080,1747274438,1747274438
307,EBN,,"Jones, Harrison and Miller Airport",1392003203,1747274438,1747274438
308,SZE,KMHU,Hutchinson Ltd Airport,1840008957,1747274438,1747274438
309,XON,IXGV,Williams Inc Airport,1076336461,1747274438,1747274438
310,YRW,,"Mcgee, Jones and Frazier Airport",1158910060,1747274438,1747274438
311,ELH,GBVI,Hebert LLC Airport,1276522466,1747274438,1747274438
312,DBA,RPHY,Howard Group Airport,1156018338,1747274438,1747274438
313,IXF,IGRH,Morris Ltd Airport,1792000511,1747274438,1747274438
314,CPN,EBMA,Leach-Martin Airport,1076532414,1747274438,1747274438
315,XWQ,UKEP,Lucero-Miller Airport,1076918260,1747274438,1747274438
316,EYT,BBEQ,Porter PLC Airport,1356173030,1747274438,1747274438
317,BEB,,Martin-Peters Airport,1356204226,1747274438,1747274438
318,OSZ,GBIC,Melton PLC Airport,1380275919,1747274438,1747274438
319,MTI,,Christensen-Roberts Airport,1356028912,1747274438,1747274438
320,WID,,"Meyer, Durham and Hill Airport",1840019841,1747274438,1747274438
321,CYP,IDUW,Silva Ltd Airport,1840019431,1747274438,1747274438
322,MIW,FFUZ,Jordan Group Airport,1356006359,1747274438,1747274438
323,LZR,PQVV,Davis LLC Airport,1478594780,1747274438,1747274438
324,DXA,IGMX,"Morris, Curtis and Young Airport",1170740769,1747274438,1747274438
325,GDM,NIIX,Vasquez Group Airport,1826242195,1747274438,1747274438
326,TYB,XYJW,Rivas Ltd Airport,1032233844,1747274438,1747274438
327,VYB,AUNO,Casey Ltd Airport,1392003253,1747274438,1747274438
328,TUC,PGUS,Walter and Sons Airport,1704332956,1747274438,1747274438
329,QGU,PWFM,Lawrence-Russo Airport,1356069797,1747274438,1747274438
330,MEM,LYYT,Griffith Group Airport,1214705132,1747274438,1747274438
331,VFJ,GGKB,Bowen-Smith Airport,1826756415,1747274438,1747274438
332,BKV,WMLG,"Fields, Jackson and Keller Airport",1840002342,1747274438,1747274438
333,MHK,SBLD,"Roberson, Reyes and Sanchez Airport",1450028790,1747274438,1747274438
334,GFJ,JCJO,Jimenez Inc Airport,1760650060,1747274438,1747274438
335,DRL,UAJS,Dalton and Sons Airport,1840010168,1747274438,1747274438
336,XHU,,Thompson Ltd Airport,1499325970,1747274438,1747274438
337,IQP,,"Miller, Bell and Hill Airport",1276742746,1747274438,1747274438
338,DLQ,,"Wright, Hayes and Ross Airport",1032993092,1747274438,1747274438
339,NFZ,LWRO,"Mccann, Lopez and Tran Airport",1484489217,1747274438,1747274438
340,GSW,BMRA,"Schultz, Moyer and Roberts Airport",1826971079,1747274438,1747274438
341,IMO,DKVV,Lewis-Morris Airport,1356337645,1747274438,1747274438
342,FHJ,NQZC,Montgomery-Oneal Airport,1642937566,1747274438,1747274438
343,YXW,HWOR,Davis-Wood Airport,1156558761,1747274438,1747274438
344,ORR,TLGR,Brown-Bradley Airport,1076493823,1747274438,1747274438
345,NYA,YGDV,Smith Ltd Airport,1332601700,1747274438,1747274438
346,AXT,VXOJ,"Cardenas, Carroll and Tate Airport",1380149501,1747274438,1747274438
347,CHP,MBWR,Martinez-Blair Airport,1276410827,1747274438,1747274438
348,WXG,HNEO,"Floyd, Smith and Cameron Airport",1392003438,1747274438,1747274438
349,TWQ,UUHZ,Reed-Thompson Airport,1724453990,1747274438,1747274438
350,WAK,GVOV,"Goodman, Jimenez and Shannon Airport",1276200986,1747274438,1747274438
351,TJO,,"Garcia, Johnson and Neal Airport",1156567163,1747274438,1747274438
352,VUL,CNIR,Ford PLC Airport,1156419338,1747274438,1747274438
353,AJJ,QNBU,"Kim, Lee and Fisher Airport",1276133236,1747274438,1747274438
