AirportID,IATACode,ICAOCode,Name,City,Country,TimeZone,CreatedAt,UpdatedAt
13139188,OKU,GRRM,Hatfield-Ramirez Airport,Patriciastad,Iceland,Asia/Vientiane,1746694151,
27348877,WGX,VBAV,"Griffin, Edwards and Cox Airport",,,Australia/Sydney,,1746694151
17823947,PSP,ESZF,Mills-Gilmore Airport,Reidstad,Romania,Europe/Amsterdam,1746694151,1746694151
13407504,ZWZ,,Willis-Harrington Airport,South Sarah,Montserrat,,1746694151,1746694151
13498157,GTT,DGXK,Donovan and Sons Airport,Robertport,Burkina Faso,Africa/Lome,1746694151,1746694151
75808812,UML,JVCO,"Alvarado, Navarro and Moore Airport",Port Amanda,,,1746694151,1746694151
38540658,FLL,SNSV,Fisher LLC Airport,Lake Jenna,,Asia/Tbilisi,,1746694151
95328047,XKF,CXAP,Jones and Sons Airport,South Vickifort,Marshall Islands,Africa/Kigali,1746694151,1746694151
80249432,SSY,XGWW,"Davenport, Ibarra and Gibbs Airport",,Albania,Asia/Saigon,1746694151,1746694151
01280790,VNY,UUKT,Smith-Snyder Airport,New Richard,Bahrain,Asia/Calcutta,1746694151,1746694151
34462437,HLL,BZQS,"Patterson, Castillo and Aguirre Airport",North Mark,,Africa/Johannesburg,1746694151,1746694151
95605014,JJR,WOIS,Benjamin LLC Airport,East Teresastad,Dominican Republic,,1746694151,1746694151
61102668,IOG,AHTT,Richards-Reed Airport,Lake Maryside,Pitcairn Islands,Pacific/Nauru,,1746694151
29962696,PVQ,AUVW,"Hamilton, Dunlap and Melton Airport",Reyesfort,Luxembourg,Africa/Malabo,,
00247857,DMC,DBDN,Rodriguez-Mendoza Airport,Lauriefort,Honduras,Europe/Andorra,,1746694151
93881274,GPV,IFNI,Bennett LLC Airport,New Tammie,,Asia/Kuching,1746694151,1746694151
53999769,EGJ,WMQN,"Johnson, Hanson and Castaneda Airport",Gravesfort,Belize,Asia/Muscat,1746694151,
92570187,NQY,WKAM,"Velasquez, Adams and Hardin Airport",Carolineshire,Mexico,Europe/Simferopol,1746694151,1746694151
52445081,ODJ,UKFB,"Davidson, Shaw and Sullivan Airport",Nicholsonview,Switzerland,Pacific/Nauru,1746694151,1746694151
45977681,QGL,CXQJ,Evans-Sandoval Airport,Calebhaven,Bermuda,America/Costa_Rica,1746694151,1746694151
87947636,COL,TXOK,"Carlson, Pittman and Henry Airport",Myerschester,Nauru,Asia/Muscat,1746694151,1746694151
01336788,GLD,SQBO,Ward-Espinoza Airport,,,Africa/Windhoek,1746694151,1746694151
06801797,UGY,PTWF,"Freeman, Jacobs and Walters Airport",,Gabon,America/El_Salvador,1746694151,
66629284,WHP,TOTQ,Crosby-Shaw Airport,Port Michaelburgh,Guinea,Europe/Tallinn,1746694151,1746694151
27892157,JMY,OTVS,"Carroll, Johnson and Walton Airport",North Jamie,Greece,Africa/Freetown,1746694151,1746694151
52793611,LZL,VGNW,Guerrero-Hernandez Airport,Rosetown,Haiti,Africa/Gaborone,1746694151,
47540293,DQC,QRCN,Morales PLC Airport,New Amber,Somalia,Asia/Beirut,1746694151,1746694151
73439696,EXA,UKJG,Anderson and Sons Airport,Lake Rebekahhaven,Bolivia,,,1746694151
74059536,HTZ,UVUV,Torres-Weaver Airport,,Saint Kitts and Nevis,Europe/Warsaw,1746694151,
72057284,LKB,BPWX,Pratt-Graham Airport,South Parkerhaven,Indonesia,Asia/Pyongyang,1746694151,1746694151
68987834,EWA,JDNG,"Nolan, Flores and Mccann Airport",North Scotttown,Isle of Man,Asia/Dhaka,1746694151,
10675659,HGB,VMJJ,Caldwell PLC Airport,,,,1746694151,1746694151
79290309,ZAN,IWWX,Baker Inc Airport,,Honduras,Asia/Riyadh,1746694151,1746694151
49899098,AID,FRAY,"Walker, Rasmussen and Miranda Airport",,Saint Barthelemy,Africa/Maseru,1746694151,1746694151
43112423,FLV,CDIN,"Smith, Wilson and Cox Airport",Port Victorchester,,Asia/Omsk,1746694151,
10527300,QEG,,"Combs, Henry and Walker Airport",Martinezstad,Zimbabwe,America/Montevideo,1746694151,1746694151
89562874,EBT,BIGK,White-Burke Airport,,Eritrea,Africa/Maputo,1746694151,1746694151
20787824,DRM,JRBE,Watson LLC Airport,Billybury,Poland,,1746694151,1746694151
05102125,KUE,,Adams Ltd Airport,East Davidborough,Cyprus,Europe/Copenhagen,1746694151,1746694151
34584707,ZGL,,Nelson Group Airport,North Janeport,Nigeria,Asia/Seoul,1746694151,1746694151
36079580,FJJ,,Mack-Carrillo Airport,Cherryview,,Europe/Tirane,,1746694151
30994476,XWW,WMHU,Bowers Group Airport,Joshuafort,Cuba,Europe/Zurich,,1746694151
80904270,JPP,BMSI,Miller Group Airport,South Austin,Senegal,Indian/Comoro,1746694151,
80494633,QUF,JSNJ,Wu PLC Airport,South Susan,South Georgia and the South Sandwich Islands,,1746694151,1746694151
25674408,KQY,DBLQ,"Good, Sanchez and Hodges Airport",Thomasmouth,,Asia/Nicosia,1746694151,1746694151
87734914,RFN,YGCE,"Murphy, Morris and Lee Airport",Port Aprilville,Korea,America/Argentina/Buenos_Aires,1746694151,1746694151
35121728,QJM,UBAJ,"Buchanan, Nash and Smith Airport",Mccoyhaven,Mozambique,,1746694151,1746694151
69160825,KWB,,"Kelley, Garcia and Smith Airport",Alexandertown,Marshall Islands,Africa/Johannesburg,1746694151,
48334851,ZXS,VRLZ,"Russell, Smith and Gill Airport",Alexanderside,Peru,Africa/Johannesburg,1746694151,1746694151
03896887,PPG,RCTL,Jackson-Tyler Airport,Bakerton,,,1746694151,1746694151
86080887,TKI,,Donovan and Sons Airport,Taraton,Libyan Arab Jamahiriya,Indian/Maldives,1746694151,
46153359,KSS,GMIU,"Lynch, Murphy and Wilson Airport",New Robertville,Trinidad and Tobago,Europe/Istanbul,1746694151,1746694151
54775104,GJL,GXMI,Byrd-Wilkins Airport,Terrystad,Saint Pierre and Miquelon,,1746694151,1746694151
03689214,QYK,ETGK,Guerra Group Airport,South Diana,Cook Islands,Africa/Gaborone,1746694151,1746694151
43677474,VZZ,PTBM,Evans and Sons Airport,,Bolivia,,1746694151,1746694151
57554084,HAB,BFIY,Hall-Peterson Airport,East Robert,Egypt,Europe/Malta,1746694151,
95496975,YDN,EUXF,Walters-Jones Airport,Wrightstad,Kazakhstan,America/Guatemala,,1746694151
23744488,BYX,UFZA,"Camacho, Robinson and Goodwin Airport",Lake Ericahaven,Germany,Africa/Casablanca,1746694151,1746694151
46021113,PQP,DCZS,"Olsen, Hunt and Taylor Airport",Melissashire,Liechtenstein,Asia/Vientiane,1746694151,1746694151
45382090,EVQ,,Frazier PLC Airport,New Maryville,Monaco,Africa/Luanda,1746694151,1746694151
28837620,ONO,MHWY,Hawkins-Jones Airport,East Debrachester,Belize,Europe/Brussels,,1746694151
72074527,GKU,ZAVZ,Mahoney Ltd Airport,Lake Tylerborough,Seychelles,America/Paramaribo,,
64700636,VJD,KCDA,Hogan-Murphy Airport,New Steven,,Africa/Khartoum,1746694151,1746694151
28810579,JFM,,Meyers-Macdonald Airport,Hoffmanmouth,Botswana,Europe/Copenhagen,1746694151,1746694151
79002461,HHJ,BQYS,"Vincent, Nichols and Ruiz Airport",New Ricardo,Austria,Africa/Kampala,1746694151,1746694151
79416498,VPX,BRLO,"Larson, Gregory and Chang Airport",Bridgesmouth,Gabon,Asia/Rangoon,1746694151,1746694151
87001753,IDH,IOXI,"Gregory, Rogers and Lopez Airport",East Randallstad,,,1746694151,1746694151
82980382,QOI,TNLJ,Barry-Herrera Airport,Williamsshire,Vanuatu,,1746694151,1746694151
61215209,JUZ,UIVK,"Brown, Parker and Park Airport",Lake Abigail,Guernsey,Europe/Volgograd,1746694151,1746694151
