,AircraftID,RegistrationNumber,ICAOTypeCode,Model,Manufacturer,OwnerAirlineID,CreatedAt,UpdatedAt,ICAO,Capacity
57,58,CH-12417022,A148,Antonov An-148,Antonov,41,1747301388,1747301388,A148,150
58,59,XI-32215959,AN24,Antonov An-24,Antonov,154,1747301388,1747301388,AN24,215
59,60,NK-99359022,A748,Hawker Siddeley HS 748,Hawker,181,1747301388,1747301388,A748,85
60,61,VE-69752377,B3XM,Boeing 737 MAX 10,Boeing,13,1747301388,1747301388,B3XM,335
61,62,XJ-91854211,AN30,Antonov An-30,Antonov,640,1747301388,1747301388,AN30,184
62,63,PV-02670119,A400,Airbus A400M Atlas,Airbus,468,1747301388,1747301388,A400,246
63,64,YY-89029769,A19N,Airbus A319neo,Airbus,578,1747301388,1747301388,A19N,172
64,65,YS-83655105,A320,Airbus A320,Airbus,439,1747301388,1747301388,A320,347
65,66,CU-39647115,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,151,1747301388,1747301388,AT43,184
66,67,VA-26712402,A338,Airbus A330-800,Airbus,50,1747301388,1747301388,A338,178
67,68,NA-53096797,A332,Airbus A330-200,Airbus,183,1747301388,1747301388,A332,156
68,69,IH-14294365,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,116,1747301388,1747301388,AT45,87
69,70,XV-64500616,A359,Airbus A350-900,Airbus,322,1747301388,1747301388,A359,351
70,71,UM-70134811,A140,Antonov An-140,Antonov,109,1747301388,1747301388,A140,117
71,72,WA-42841385,A388,Airbus A380-800,Airbus,481,1747301388,1747301388,A388,395
72,73,DL-22728259,AN12,Antonov An-12,Antonov,454,1747301388,1747301388,AN12,207
73,74,BU-11856154,AN30,Antonov An-30,Antonov,511,1747301388,1747301388,AN30,184
74,75,UY-75473633,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,50,1747301388,1747301388,AT73,35
75,76,VU-37616488,B190,Beechcraft 1900,Beechcraft,467,1747301388,1747301388,B190,34
76,77,EH-05852147,AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,57,1747301388,1747301388,AC90,194
77,78,WD-11602373,AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,68,1747301388,1747301388,AC90,194
78,79,XE-39932224,AN12,Antonov An-12,Antonov,564,1747301388,1747301388,AN12,207
79,80,PY-10623832,AN30,Antonov An-30,Antonov,109,1747301388,1747301388,AN30,184
80,81,ZF-19471275,A748,Hawker Siddeley HS 748,Hawker,192,1747301388,1747301388,A748,85
81,82,YP-00023833,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,187,1747301388,1747301388,AT75,200
82,83,UC-82836033,AN72,Antonov An-72 / An-74,Antonov,191,1747301388,1747301388,AN72,148
83,84,GF-27803821,A332,Airbus A330-200,Airbus,100,1747301388,1747301388,A332,156
84,85,QQ-03044002,AN24,Antonov An-24,Antonov,607,1747301388,1747301388,AN24,215
85,86,RB-71473778,B190,Beechcraft 1900,Beechcraft,239,1747301388,1747301388,B190,34
86,87,QJ-87764677,A225,Antonov An-225 Mriya,Antonov,218,1747301388,1747301388,A225,102
87,88,IX-13609928,A306,Airbus A300-600,Airbus,190,1747301388,1747301388,A306,176
88,89,MW-07718274,AN12,Antonov An-12,Antonov,83,1747301388,1747301388,AN12,207
89,90,LL-73012504,AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,225,1747301388,1747301388,AC90,194
90,91,XC-98419170,A35K,Airbus A350-1000,Airbus,19,1747301388,1747301388,A35K,350
91,92,HH-11062294,A148,Antonov An-148,Antonov,93,1747301388,1747301388,A148,150
92,93,ZE-10654764,A306,Airbus A300-600,Airbus,85,1747301388,1747301388,A306,176
93,94,BN-96772632,A19N,Airbus A319neo,Airbus,49,1747301388,1747301388,A19N,172
94,95,PS-06489553,A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,481,1747301388,1747301388,A3ST,234
95,96,VQ-76511991,A333,Airbus A330-300,Airbus,335,1747301388,1747301388,A333,230
96,97,KK-46209732,AN28,Antonov An-28,Antonov,301,1747301388,1747301388,AN28,92
97,98,QU-68139801,A748,Hawker Siddeley HS 748,Hawker,271,1747301388,1747301388,A748,85
98,99,SJ-83525592,AT72,Aerospatiale/Alenia ATR 72-201/-202,Aerospatiale/Alenia,425,1747301388,1747301388,AT72,20
99,100,ZL-41461003,A333,Airbus A330-300,Airbus,136,1747301388,1747301388,A333,230
100,101,EM-81514818,A345,Airbus A340-500,Airbus,326,1747301388,1747301388,A345,251
101,102,UW-99133787,AN30,Antonov An-30,Antonov,537,1747301388,1747301388,AN30,184
102,103,PY-36723206,AN12,Antonov An-12,Antonov,216,1747301388,1747301388,AN12,207
103,104,EK-28714745,A400,Airbus A400M Atlas,Airbus,27,1747301388,1747301388,A400,246
104,105,NW-37418367,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,20,1747301388,1747301388,AT46,20
105,106,OB-15336185,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,318,1747301388,1747301388,AT46,20
106,107,DO-34345166,B190,Beechcraft 1900,Beechcraft,126,1747301388,1747301388,B190,34
107,108,OV-02909481,A19N,Airbus A319neo,Airbus,169,1747301388,1747301388,A19N,172
108,109,EW-01059707,AN72,Antonov An-72 / An-74,Antonov,281,1747301388,1747301388,AN72,148
109,110,VH-13610462,A333,Airbus A330-300,Airbus,11,1747301388,1747301388,A333,230
110,111,DO-21379490,A345,Airbus A340-500,Airbus,112,1747301388,1747301388,A345,251
111,112,WK-71114633,AN26,Antonov An-26,Antonov,581,1747301388,1747301388,AN26,100
112,113,DV-15763238,A345,Airbus A340-500,Airbus,80,1747301388,1747301388,A345,251
113,114,HN-76760593,A319,Airbus A319,Airbus,71,1747301388,1747301388,A319,302
114,115,DL-71494565,AN72,Antonov An-72 / An-74,Antonov,659,1747301388,1747301388,AN72,148
115,116,OJ-81880189,A342,Airbus A340-200,Airbus,73,1747301388,1747301388,A342,313
116,117,YU-24182075,A333,Airbus A330-300,Airbus,337,1747301388,1747301388,A333,230
117,118,GZ-97249545,A306,Airbus A300-600,Airbus,492,1747301388,1747301388,A306,176
118,119,MO-08330515,AN30,Antonov An-30,Antonov,582,1747301388,1747301388,AN30,184
119,120,AB-72511838,B190,Beechcraft 1900,Beechcraft,476,1747301388,1747301388,B190,34
120,121,OW-28827130,AN72,Antonov An-72 / An-74,Antonov,108,1747301388,1747301388,AN72,148
121,122,HW-19570887,A158,Antonov An-158,Antonov,293,1747301388,1747301388,A158,235
122,123,CQ-84191857,AN26,Antonov An-26,Antonov,229,1747301388,1747301388,AN26,100
123,124,GO-86045899,A20N,Airbus A320neo,Airbus,316,1747301388,1747301388,A20N,299
124,125,VP-99996595,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,27,1747301388,1747301388,AT46,20
125,126,YL-64535072,AT72,Aerospatiale/Alenia ATR 72-201/-202,Aerospatiale/Alenia,276,1747301388,1747301388,AT72,20
126,127,UC-93431825,A20N,Airbus A320neo,Airbus,302,1747301388,1747301388,A20N,299
127,128,BC-69906671,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,164,1747301388,1747301388,AT46,20
128,129,EI-52621675,A339,Airbus A330-900,Airbus,467,1747301388,1747301388,A339,251
129,130,VW-12746846,AN30,Antonov An-30,Antonov,170,1747301388,1747301388,AN30,184
130,131,MV-56435677,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,215,1747301388,1747301388,AT73,35
131,132,UC-97358873,A19N,Airbus A319neo,Airbus,211,1747301388,1747301388,A19N,172
132,133,KA-11857535,A321,Airbus A321,Airbus,252,1747301388,1747301388,A321,297
133,134,CK-99431220,A388,Airbus A380-800,Airbus,80,1747301388,1747301388,A388,395
134,135,ZR-71906111,A319,Airbus A319,Airbus,444,1747301388,1747301388,A319,302
135,136,UM-82839633,A333,Airbus A330-300,Airbus,373,1747301388,1747301388,A333,230
136,137,CF-46759895,A388,Airbus A380-800,Airbus,652,1747301388,1747301388,A388,395
137,138,MX-10240973,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,388,1747301388,1747301388,AT75,200
138,139,KS-56286426,AN28,Antonov An-28,Antonov,574,1747301388,1747301388,AN28,92
139,140,IK-51468753,A345,Airbus A340-500,Airbus,217,1747301388,1747301388,A345,251
140,141,IR-48760723,A310,Airbus A310-200,Airbus,12,1747301388,1747301388,A310,272
141,142,HJ-19679623,AN28,Antonov An-28,Antonov,651,1747301388,1747301388,AN28,92
142,143,TB-81293315,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,50,1747301388,1747301388,AT43,184
143,144,TO-13356401,AJ27,Comac ARJ21-700 / C909,Comac,598,1747301388,1747301388,AJ27,73
144,145,PW-24469504,A140,Antonov An-140,Antonov,10,1747301388,1747301388,A140,117
145,146,MR-88345365,A748,Hawker Siddeley HS 748,Hawker,278,1747301388,1747301388,A748,85
146,147,SV-41127522,AN30,Antonov An-30,Antonov,62,1747301388,1747301388,AN30,184
147,148,PM-78070245,A306,Airbus A300-600,Airbus,308,1747301388,1747301388,A306,176
148,149,ST-47016920,AN30,Antonov An-30,Antonov,565,1747301388,1747301388,AN30,184
149,150,WA-50510857,AN30,Antonov An-30,Antonov,145,1747301388,1747301388,AN30,184
150,151,PK-20347945,A306,Airbus A300-600,Airbus,139,1747301388,1747301388,A306,176
151,152,UP-68246607,AN28,Antonov An-28,Antonov,356,1747301388,1747301388,AN28,92
152,153,PN-33890643,B190,Beechcraft 1900,Beechcraft,371,1747301388,1747301388,B190,34
153,154,NA-29978431,A748,Hawker Siddeley HS 748,Hawker,511,1747301388,1747301388,A748,85
154,155,RU-79830146,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,591,1747301388,1747301388,AT73,35
155,156,LN-59481316,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,66,1747301388,1747301388,AT75,200
156,157,KR-46298064,ATP,British Aerospace ATP,British,537,1747301388,1747301388,ATP,134
157,158,TF-88751393,A318,Airbus A318,Airbus,84,1747301388,1747301388,A318,279
158,159,XU-70156156,A320,Airbus A320,Airbus,48,1747301388,1747301388,A320,347
159,160,WZ-24148911,A225,Antonov An-225 Mriya,Antonov,2,1747301388,1747301388,A225,102
160,161,BR-99370256,A400,Airbus A400M Atlas,Airbus,67,1747301388,1747301388,A400,246
161,162,KI-88893123,AN72,Antonov An-72 / An-74,Antonov,195,1747301388,1747301388,AN72,148
162,163,RD-63858422,AN24,Antonov An-24,Antonov,149,1747301388,1747301388,AN24,215
163,164,PQ-23367268,A337,"Airbus A330-700 ""BelugaXL""",Airbus,192,1747301388,1747301388,A337,277
164,165,OA-22410973,A319,Airbus A319,Airbus,241,1747301388,1747301388,A319,302
165,166,JS-77028238,B39M,Boeing 737 MAX 9,Boeing,187,1747301388,1747301388,B39M,169
166,167,PF-52384460,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,74,1747301388,1747301388,AT45,87
167,168,UV-34337243,AN28,Antonov An-28,Antonov,78,1747301388,1747301388,AN28,92
168,169,PQ-05048264,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,364,1747301388,1747301388,AT73,35
169,170,TX-51095272,A332,Airbus A330-200,Airbus,9,1747301388,1747301388,A332,156
170,171,DE-37401671,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,343,1747301388,1747301388,AT45,87
171,172,MS-04278168,ATP,British Aerospace ATP,British,14,1747301388,1747301388,ATP,134
172,173,NA-15188149,A140,Antonov An-140,Antonov,74,1747301388,1747301388,A140,117
173,174,GS-26760594,A345,Airbus A340-500,Airbus,194,1747301388,1747301388,A345,251
174,175,NU-25020934,A19N,Airbus A319neo,Airbus,655,1747301388,1747301388,A19N,172
175,176,NI-66519125,AN30,Antonov An-30,Antonov,384,1747301388,1747301388,AN30,184
176,177,FM-92384758,A332,Airbus A330-200,Airbus,29,1747301388,1747301388,A332,156
177,178,CM-89235070,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,121,1747301388,1747301388,AT75,200
178,179,UG-07267005,AN32,Antonov An-32,Antonov,592,1747301388,1747301388,AN32,203
179,180,WP-99104373,B190,Beechcraft 1900,Beechcraft,43,1747301388,1747301388,B190,34
180,181,TG-22061692,A321,Airbus A321,Airbus,449,1747301388,1747301388,A321,297
181,182,VH-48292393,A388,Airbus A380-800,Airbus,372,1747301388,1747301388,A388,395
182,183,CF-42499160,AN32,Antonov An-32,Antonov,306,1747301388,1747301388,AN32,203
183,184,RQ-37707175,A21N,Airbus A321neo,Airbus,54,1747301388,1747301388,A21N,234
184,185,LN-05619064,A359,Airbus A350-900,Airbus,182,1747301388,1747301388,A359,351
185,186,DQ-99551052,A337,"Airbus A330-700 ""BelugaXL""",Airbus,380,1747301388,1747301388,A337,277
186,187,WN-10000412,A359,Airbus A350-900,Airbus,245,1747301388,1747301388,A359,351
187,188,SB-02458403,AN32,Antonov An-32,Antonov,291,1747301388,1747301388,AN32,203
188,189,KT-70941449,A388,Airbus A380-800,Airbus,397,1747301388,1747301388,A388,395
189,190,ES-43815211,A320,Airbus A320,Airbus,13,1747301388,1747301388,A320,347
190,191,QO-60032056,AN24,Antonov An-24,Antonov,341,1747301388,1747301388,AN24,215
191,192,IH-99089579,A343,Airbus A340-300,Airbus,497,1747301388,1747301388,A343,303
192,193,HA-78241554,AJ27,Comac ARJ21-700 / C909,Comac,110,1747301388,1747301388,AJ27,73
193,194,KT-04715758,A319,Airbus A319,Airbus,223,1747301388,1747301388,A319,302
194,195,PL-87465883,B38M,Boeing 737 MAX 8,Boeing,259,1747301388,1747301388,B38M,242
195,196,QY-97402347,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,191,1747301388,1747301388,AT46,20
196,197,CS-66608395,B3XM,Boeing 737 MAX 10,Boeing,38,1747301388,1747301388,B3XM,335
197,198,OF-05618539,A148,Antonov An-148,Antonov,385,1747301388,1747301388,A148,150
198,199,BX-15239571,A337,"Airbus A330-700 ""BelugaXL""",Airbus,485,1747301388,1747301388,A337,277
199,200,OS-47140195,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,58,1747301388,1747301388,AT45,87
200,201,UQ-47926034,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,474,1747301388,1747301388,AT73,35
201,202,DD-78963226,AJ27,Comac ARJ21-700 / C909,Comac,163,1747301388,1747301388,AJ27,73
202,203,AH-09880407,B38M,Boeing 737 MAX 8,Boeing,117,1747301388,1747301388,B38M,242
203,204,RH-04318199,B39M,Boeing 737 MAX 9,Boeing,212,1747301388,1747301388,B39M,169
204,205,TS-96788290,ATP,British Aerospace ATP,British,448,1747301388,1747301388,ATP,134
205,206,IV-18571467,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,5,1747301388,1747301388,AT75,200
206,207,PN-09731928,B190,Beechcraft 1900,Beechcraft,89,1747301388,1747301388,B190,34
207,208,EE-98889592,A319,Airbus A319,Airbus,307,1747301388,1747301388,A319,302
208,209,VU-49703797,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,51,1747301388,1747301388,AT75,200
209,210,MK-46139928,A339,Airbus A330-900,Airbus,445,1747301388,1747301388,A339,251
210,211,IT-35316829,A748,Hawker Siddeley HS 748,Hawker,145,1747301388,1747301388,A748,85
211,212,JM-08166272,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,57,1747301388,1747301388,AT46,20
212,213,RS-38621647,AN30,Antonov An-30,Antonov,311,1747301388,1747301388,AN30,184
213,214,TJ-31687123,AN30,Antonov An-30,Antonov,113,1747301388,1747301388,AN30,184
214,215,VG-60299611,B37M,Boeing 737 MAX 7,Boeing,654,1747301388,1747301388,B37M,385
215,216,PH-46752894,AN24,Antonov An-24,Antonov,40,1747301388,1747301388,AN24,215
216,217,GJ-73510992,A345,Airbus A340-500,Airbus,65,1747301388,1747301388,A345,251
217,218,MF-32317327,AT72,Aerospatiale/Alenia ATR 72-201/-202,Aerospatiale/Alenia,479,1747301388,1747301388,AT72,20
218,219,YE-66451328,AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,111,1747301388,1747301388,AC90,194
219,220,ZR-74388927,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,154,1747301388,1747301388,AT43,184
220,221,LA-11363468,A332,Airbus A330-200,Airbus,296,1747301388,1747301388,A332,156
221,222,TS-38620079,AN12,Antonov An-12,Antonov,393,1747301388,1747301388,AN12,207
222,223,AB-16985773,A140,Antonov An-140,Antonov,490,1747301388,1747301388,A140,117
223,224,UL-35871641,B39M,Boeing 737 MAX 9,Boeing,244,1747301388,1747301388,B39M,169
224,225,AS-31700353,A346,Airbus A340-600,Airbus,501,1747301388,1747301388,A346,354
225,226,RG-54097691,B37M,Boeing 737 MAX 7,Boeing,446,1747301388,1747301388,B37M,385
226,227,ZP-87532323,A306,Airbus A300-600,Airbus,467,1747301388,1747301388,A306,176
227,228,XK-68424803,AJ27,Comac ARJ21-700 / C909,Comac,519,1747301388,1747301388,AJ27,73
228,229,PG-46061327,A359,Airbus A350-900,Airbus,97,1747301388,1747301388,A359,351
229,230,UG-89527501,B3XM,Boeing 737 MAX 10,Boeing,35,1747301388,1747301388,B3XM,335
230,231,UI-56881297,A310,Airbus A310-200,Airbus,594,1747301388,1747301388,A310,272
231,232,TE-71321386,AN30,Antonov An-30,Antonov,430,1747301388,1747301388,AN30,184
232,233,RX-12393423,A337,"Airbus A330-700 ""BelugaXL""",Airbus,53,1747301388,1747301388,A337,277
233,234,NL-67090011,AN30,Antonov An-30,Antonov,19,1747301388,1747301388,AN30,184
234,235,HB-86061203,A140,Antonov An-140,Antonov,132,1747301388,1747301388,A140,117
235,236,NW-01228082,AN12,Antonov An-12,Antonov,284,1747301388,1747301388,AN12,207
236,237,II-56204819,B38M,Boeing 737 MAX 8,Boeing,219,1747301388,1747301388,B38M,242
237,238,QG-14905772,A345,Airbus A340-500,Airbus,594,1747301388,1747301388,A345,251
238,239,GB-51146418,AT76,Aerospatiale/Alenia ATR 72-212A (600),Aerospatiale/Alenia,289,1747301388,1747301388,AT76,127
239,240,FI-18231383,A321,Airbus A321,Airbus,179,1747301388,1747301388,A321,297
240,241,TY-16930452,AT76,Aerospatiale/Alenia ATR 72-212A (600),Aerospatiale/Alenia,309,1747301388,1747301388,AT76,127
241,242,RU-65871032,AN32,Antonov An-32,Antonov,338,1747301388,1747301388,AN32,203
242,243,GB-39954816,AN30,Antonov An-30,Antonov,130,1747301388,1747301388,AN30,184
243,244,AB-77238778,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,291,1747301388,1747301388,AT43,184
244,245,DN-05178008,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,550,1747301388,1747301388,AT45,87
245,246,CS-02601871,AN72,Antonov An-72 / An-74,Antonov,213,1747301388,1747301388,AN72,148
246,247,UD-85712750,A346,Airbus A340-600,Airbus,502,1747301388,1747301388,A346,354
247,248,CS-79647099,ATP,British Aerospace ATP,British,141,1747301388,1747301388,ATP,134
248,249,QZ-01568737,AN28,Antonov An-28,Antonov,95,1747301388,1747301388,AN28,92
249,250,VT-62802551,A310,Airbus A310-200,Airbus,12,1747301388,1747301388,A310,272
250,251,VO-85123303,A19N,Airbus A319neo,Airbus,265,1747301388,1747301388,A19N,172
251,252,KD-80777632,A388,Airbus A380-800,Airbus,271,1747301388,1747301388,A388,395
252,253,JU-89894061,A332,Airbus A330-200,Airbus,297,1747301388,1747301388,A332,156
253,254,WW-53760455,A388,Airbus A380-800,Airbus,143,1747301388,1747301388,A388,395
254,255,UD-81649642,A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,395,1747301388,1747301388,A3ST,234
255,256,BR-23583392,A19N,Airbus A319neo,Airbus,494,1747301388,1747301388,A19N,172
256,257,YX-59804749,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,99,1747301388,1747301388,AT73,35
257,258,EM-63240068,AN72,Antonov An-72 / An-74,Antonov,218,1747301388,1747301388,AN72,148
258,259,DI-87068408,AJ27,Comac ARJ21-700 / C909,Comac,479,1747301388,1747301388,AJ27,73
259,260,SB-77593790,A339,Airbus A330-900,Airbus,9,1747301388,1747301388,A339,251
260,261,BS-80771102,A21N,Airbus A321neo,Airbus,625,1747301388,1747301388,A21N,234
261,262,PH-01217151,A148,Antonov An-148,Antonov,123,1747301388,1747301388,A148,150
262,263,GE-25269238,A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,85,1747301388,1747301388,A3ST,234
263,264,TE-12693073,A748,Hawker Siddeley HS 748,Hawker,64,1747301388,1747301388,A748,85
264,265,AK-10500503,A19N,Airbus A319neo,Airbus,200,1747301388,1747301388,A19N,172
265,266,YT-30897453,A338,Airbus A330-800,Airbus,346,1747301388,1747301388,A338,178
266,267,AM-66698526,AN30,Antonov An-30,Antonov,522,1747301388,1747301388,AN30,184
267,268,BD-62759357,A338,Airbus A330-800,Airbus,443,1747301388,1747301388,A338,178
268,269,CC-72753644,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,16,1747301388,1747301388,AT43,184
269,270,ME-07960648,AN30,Antonov An-30,Antonov,117,1747301388,1747301388,AN30,184
270,271,ZS-54320531,AN12,Antonov An-12,Antonov,173,1747301388,1747301388,AN12,207
271,272,OI-31900110,A19N,Airbus A319neo,Airbus,587,1747301388,1747301388,A19N,172
272,273,NJ-99300102,A148,Antonov An-148,Antonov,377,1747301388,1747301388,A148,150
