RegistrationNumber,ReferenceCapacity,MWOT,RegisteredDate,ARCExpiredDate,RegistrationStatus
QB-47442656,474,147,2013-09-27,2014-10-16,Active
OO-48749985,364,238,2023-05-23,2024-07-11,Active
YK-87588941,178,374,2013-09-07,2014-10-21,Active
LK-40865485,272,281,2015-03-03,2016-01-12,Active
XM-31910262,374,287,2021-09-10,2022-09-12,Active
IK-22055596,172,400,2014-11-05,2015-12-01,Active
NW-37654938,242,165,2021-07-02,2022-08-10,Active
BF-67690005,410,284,2023-10-31,2024-12-02,Active
HE-77965936,347,294,2004-03-30,2005-04-04,Active
PK-66887439,335,367,2023-03-11,2024-02-20,Active
HS-94833697,228,152,2017-06-21,2018-05-14,Active
ZN-40055544,192,289,2019-02-04,2019-12-31,Active
FT-01650010,233,134,2005-05-06,2006-03-22,Active
KF-13576230,373,284,2001-07-29,2002-07-26,Active
XJ-65723228,192,343,2013-01-01,2014-01-25,Active
EG-84449329,357,359,2022-06-04,2023-04-26,Active
LC-38869849,160,187,2002-05-18,2003-07-09,Active
NG-09629972,216,285,2021-11-22,2022-09-28,Active
AP-12733385,227,237,2014-03-28,2015-04-18,Active
EU-26724300,319,144,2013-02-28,2014-02-13,Active
JC-89492474,140,227,2018-12-15,2020-01-05,Active
QF-04436814,230,293,2013-04-02,2014-03-22,Active
AO-09335024,385,161,1996-07-10,1997-06-29,Active
RJ-57976011,448,249,1998-04-22,1999-05-28,Active
UT-94696999,128,172,2011-08-05,2012-06-10,Active
UI-73828347,453,183,2019-10-03,2020-08-22,Active
SI-45247898,277,304,2006-06-02,2007-04-16,Active
KH-92257876,296,338,2010-09-22,2011-08-15,Active
UD-79617108,118,267,2022-04-23,2023-04-30,Active
GV-64134146,194,158,2005-03-25,2006-04-03,Active
FW-60768409,227,170,2003-09-09,2004-09-11,Active
DB-92314951,210,354,2004-01-15,2005-03-02,Operation in restricted airspace
MD-67277009,319,222,2017-05-30,2018-07-12,Active
KT-79794416,213,151,2004-04-08,2005-04-10,Active
FG-08289243,380,162,2002-10-14,2003-10-10,Active
YS-28305249,419,178,2010-10-23,2011-09-15,Active
YW-68700779,152,205,2024-10-14,2025-09-28,Missing maintenance logs
JO-56863962,323,370,2001-06-30,2002-05-11,Active
SB-19636757,256,229,2009-01-23,2010-02-21,Active
PV-33050188,194,290,1995-10-25,1996-08-29,Active
QJ-24116794,200,132,2004-02-06,2005-01-21,Active
RD-34998008,164,225,2010-08-30,2011-08-18,Active
PR-85822223,403,294,2020-01-29,2021-03-23,Active
GB-17472174,460,194,2013-04-16,2014-04-28,Active
VE-18622144,247,157,2022-05-16,2023-05-10,Active
CB-39945972,267,395,2000-08-19,2001-07-29,Active
AZ-51621042,415,213,2005-03-11,2006-04-15,Active
KG-50335280,168,114,2020-04-12,2021-05-02,Active
SI-45086610,141,113,2022-03-11,2023-03-01,Active
CE-17401743,492,280,2017-12-18,2018-10-21,Active
NQ-72857364,437,125,1999-05-31,2000-04-21,Active
LE-20734616,309,150,2007-09-13,2008-09-20,Active
JH-98035840,334,189,2005-04-24,2006-03-19,Active
HW-63506432,225,360,2006-08-02,2007-07-30,Active
XC-30463327,120,343,2005-09-03,2006-10-28,Navigation or communication equipment failure
FQ-93920883,375,386,1999-02-06,2000-02-24,Active
OP-07583817,220,375,1998-03-22,1999-04-15,Active
DI-38473173,217,227,2001-05-05,2002-05-21,Active
ZC-30877493,132,348,2023-05-14,2024-06-10,Active
YV-52914325,132,246,2016-06-10,2017-05-12,Active
IE-32275749,277,389,2001-10-30,2002-11-03,Active
MS-29556422,257,222,2011-01-06,2011-12-25,Active
UU-02683002,468,396,2013-03-16,2014-05-05,Active
CK-02570327,123,344,2016-10-27,2017-11-21,Active
RR-11291222,160,121,2011-06-12,2012-05-04,Active
SC-99971011,373,346,2012-05-24,2013-04-08,Active
OI-64906871,164,157,2008-10-04,2009-09-26,Active
XT-74718247,262,194,2015-06-19,2016-08-05,Active
LN-73662153,295,312,2022-03-10,2023-03-26,Active
TD-01421159,203,397,2005-11-05,2006-10-30,Active
SZ-44206238,402,260,2023-02-03,2024-03-06,Active
JY-20175384,356,231,2019-08-26,2020-10-12,Active
MI-95220105,290,252,1996-08-03,1997-07-28,Active
MY-00668601,473,358,1998-06-17,1999-08-02,Active
NW-82829924,364,126,2017-05-07,2018-06-12,Maintenance not done as scheduled
OU-23466686,450,196,2020-06-11,2021-06-28,Active
LB-61169441,129,233,2009-11-20,2010-12-31,Active
HG-93319082,240,197,2000-12-17,2002-01-22,Active
IU-64841510,233,162,2023-05-05,2024-05-20,Active
RL-39016565,161,243,2022-08-17,2023-09-27,Active
MJ-52183515,331,234,2008-08-13,2009-10-08,Active
PI-31979089,356,125,1996-07-18,1997-05-23,Active
KV-08680138,141,386,2016-05-09,2017-04-21,Active
CZ-13738841,296,354,2019-09-05,2020-08-21,Active
XM-70373505,302,175,2004-06-11,2005-06-14,Active
IC-99022652,190,160,2019-08-24,2020-09-07,Active
UK-43948340,410,300,2000-06-08,2001-07-12,Active
UP-87105473,207,366,2001-11-09,2002-12-20,Active
XX-41332161,131,262,1999-01-10,2000-01-14,Active
EH-08702290,181,265,2012-01-19,2012-12-01,Active
KD-02280079,413,360,2003-02-12,2004-01-26,Active
PH-83718428,347,181,2021-07-18,2022-06-03,Active
XA-44377492,131,193,1995-10-12,1996-09-12,Active
VL-96623862,388,197,2012-02-16,2012-12-23,Active
WS-62683554,476,318,2006-07-20,2007-08-22,Active
VQ-18643729,486,254,2018-12-27,2020-01-02,Active
JF-32100752,182,210,2005-05-13,2006-04-22,Active
GV-00463363,161,350,2010-10-13,2011-10-21,Active
LV-61632522,240,253,2011-02-14,2011-12-22,Active
AU-88191532,265,292,1999-04-19,2000-03-04,Active
FC-59761938,451,193,2021-06-21,2022-05-21,Active
PO-75416112,135,302,1996-12-07,1997-11-07,Active
DA-41434266,338,172,2024-11-07,2025-12-05,Active
UP-41837529,491,368,2007-10-01,2008-11-16,Active
CF-51872398,309,169,2016-03-15,2017-05-06,Active
XH-43802575,462,147,2003-07-21,2004-07-21,Active
OS-89874512,281,262,2002-11-21,2003-12-02,Active
FT-35659709,355,329,2007-09-11,2008-08-01,Active
YZ-01736908,451,179,1996-11-10,1997-11-19,Active
BU-46455197,165,200,2009-12-05,2010-12-08,Active
HU-55881629,187,314,1996-06-04,1997-04-11,Active
JK-42147429,360,212,2016-07-24,2017-08-26,Active
IJ-73948756,494,324,1996-12-17,1997-12-15,Active
UX-46317047,196,305,2022-08-27,2023-08-01,Active
PC-54726816,461,267,2008-04-17,2009-03-30,Active
ZI-04253536,314,305,2018-10-21,2019-10-18,Active
OB-72195517,141,284,2013-04-07,2014-04-27,Active
JB-58792716,206,350,1996-03-17,1997-01-27,Active
FB-80679572,424,352,1998-08-28,1999-07-09,Active
WX-95788649,267,110,2020-04-01,2021-03-13,Active
MX-21845344,200,368,2000-01-04,2000-11-13,Active
FY-07922276,409,245,2002-07-07,2003-08-09,Active
RE-24230622,240,161,2006-03-23,2007-02-24,Active
WH-11712627,217,155,2016-10-18,2017-11-30,Active
VO-40478716,445,176,2019-06-16,2020-07-09,Active
PM-07627349,151,305,2010-11-26,2011-10-01,Active
GD-65631545,223,327,1996-08-09,1997-08-15,Active
EC-75417511,171,293,2017-07-29,2018-08-02,Active
NB-69957320,496,214,2000-12-23,2002-01-29,Active
DQ-93701243,471,238,2017-07-06,2018-08-21,Active
GS-53888875,216,299,2009-10-31,2010-09-11,Active
XY-50096115,186,299,2021-04-18,2022-03-31,Active
MR-44631761,148,321,2011-11-17,2012-12-26,Active
UD-37374693,344,274,2015-12-04,2016-12-18,Active
HU-73410138,323,292,2001-12-18,2003-01-27,Active
ZR-02412854,321,176,2006-10-13,2007-09-08,Active
YH-30442060,449,255,2008-08-17,2009-07-01,Active
NJ-06929756,273,259,2006-01-29,2006-12-03,Active
JM-15141997,171,264,1999-07-11,2000-07-26,Active
WA-86348635,283,371,2006-12-07,2008-01-04,Active
XF-26530083,223,377,2024-05-26,2025-04-04,Active
TX-12935464,235,235,2012-04-18,2013-03-01,Active
BV-56584773,306,281,2023-10-28,2024-11-01,Active
UZ-88834435,480,345,2023-01-20,2024-01-20,Active
IY-20509776,409,239,2003-08-14,2004-08-09,Active
KM-32328986,312,185,2010-09-28,2011-07-31,Active
FN-47015506,322,325,2000-05-27,2001-04-20,Active
HC-16731010,248,297,2013-04-20,2014-02-19,Active
VM-99292260,372,268,2012-05-08,2013-04-19,Active
PE-79234315,492,337,2009-03-04,2010-04-06,Active
MT-92184503,218,346,2020-01-29,2021-02-18,Active
CH-60814000,167,136,2018-05-22,2019-04-23,Active
AR-00863292,183,257,2014-12-21,2016-01-24,Active
ZI-71333679,250,130,2007-07-05,2008-07-17,Active
TT-16990023,422,349,2010-08-03,2011-06-11,Active
CC-19354277,158,271,2024-12-18,2026-01-20,Active
PV-36383038,397,127,2018-10-23,2019-10-30,Active
JG-38973085,327,240,2021-01-06,2021-11-22,Active
SP-49244238,494,137,2010-04-06,2011-02-12,Active
RO-96641954,146,327,2020-03-05,2021-01-07,Active
RV-38211395,290,125,2007-02-11,2008-01-08,Active
TG-00654819,495,374,2007-12-07,2008-10-09,Active
MC-21855053,463,122,2003-02-08,2004-01-06,Active
YO-35007001,366,130,2018-11-11,2019-12-03,Active
TO-71395135,182,389,2002-09-21,2003-11-20,Active
LQ-48242093,238,140,1999-07-18,2000-08-18,Active
KF-35516792,120,109,2016-06-11,2017-05-17,Expired airworthiness certificate
CG-40025344,365,192,2007-05-04,2008-05-02,Operation in restricted airspace
ZC-09418744,285,109,2007-12-20,2009-01-22,Active
KO-35488047,307,238,2015-01-16,2015-11-22,Active
CV-60634100,179,112,2002-01-18,2003-02-14,Active
WC-20298872,312,223,2020-03-03,2021-01-26,Active
CQ-39765966,125,338,2022-04-10,2023-05-31,Active
UC-15654208,329,201,1995-07-27,1996-07-02,Active
FC-46660202,208,391,2021-06-12,2022-06-29,Active
EN-25724789,279,243,1995-06-20,1996-05-15,Active
BT-04047604,453,383,2016-01-12,2017-02-18,Active
MD-62787879,168,202,2009-07-27,2010-07-01,Active
CW-75703200,209,139,1998-01-07,1998-12-06,Active
VA-00783461,358,296,1995-09-02,1996-08-03,Active
DB-05882378,409,135,2023-09-15,2024-10-18,Active
TM-72239908,298,114,2020-12-14,2022-01-01,Active
TG-74795366,361,363,2013-12-11,2015-02-02,Active
FU-15251897,238,104,2006-09-27,2007-10-01,Active
MU-39346137,309,183,2011-07-29,2012-07-07,Active
HT-56662717,256,335,2005-12-14,2007-01-08,Active
FG-98436110,171,306,2019-08-25,2020-10-18,Active
GG-47276792,399,103,2002-09-16,2003-08-30,Active
LN-15073501,284,159,1997-09-19,1998-10-09,Active
BJ-47867096,141,267,2023-09-27,2024-10-15,Active
PI-85020798,120,302,2012-12-10,2013-10-31,Active
DC-78728500,112,141,2020-03-13,2021-04-27,Active
WZ-75703586,413,312,1996-03-09,1997-02-21,Active
EK-47934648,467,244,2000-10-29,2001-12-23,Active
GY-57533478,290,109,2019-05-23,2020-05-02,Active
QD-72828096,403,226,2006-03-29,2007-05-22,Active
WK-38594087,484,214,2009-08-03,2010-08-22,Active
MQ-82232530,216,242,1995-11-23,1997-01-01,Active
CS-45283059,131,159,2023-05-05,2024-07-02,Active
WZ-62072732,179,352,2002-08-05,2003-08-10,Active
KO-74502490,363,148,2003-02-25,2004-02-29,Active
IH-79539858,375,328,1997-04-07,1998-02-17,Active
NV-58391808,380,179,2023-10-04,2024-11-21,Active
UR-10560122,311,190,2008-03-18,2009-04-29,Active
ZV-76893328,268,283,2021-10-24,2022-09-03,Active
AF-25704408,143,257,2004-06-29,2005-07-29,Active
WM-56638941,218,189,2002-11-21,2003-11-05,Active
SG-70722233,272,142,2015-05-13,2016-04-21,Aircraft owned by unauthorized entity
KC-15648004,131,123,1995-07-11,1996-06-29,Active
MS-21202344,273,390,2017-12-30,2019-02-16,Active
FV-50103827,111,246,2002-05-16,2003-06-12,Active
VD-84302763,307,340,2015-02-16,2016-03-06,Active
SL-26260341,486,309,2014-07-08,2015-08-18,Active
DO-16445973,352,353,2000-05-01,2001-05-07,Active
WF-82903461,309,217,1998-09-13,1999-11-02,Active
IX-10459093,319,136,1996-02-02,1997-03-23,Active
NJ-39860013,323,295,2013-05-09,2014-04-11,Active
DD-34631816,159,109,1996-09-05,1997-07-16,Active
DV-60732737,351,158,2005-08-03,2006-09-15,Active
TT-08031101,146,175,2006-12-07,2007-11-30,Active
EG-86615018,106,234,2004-07-11,2005-05-21,Active
MK-42513842,353,381,2018-05-19,2019-03-22,Active
IB-48607501,150,130,2009-08-20,2010-08-25,Active
ZP-62325956,202,222,2018-05-07,2019-06-10,Active
XQ-90828866,366,306,2009-08-23,2010-10-16,Active
TK-74638592,342,260,1998-01-22,1999-01-11,Active
LI-12422424,112,155,1997-10-05,1998-08-29,Active
RK-78074311,361,367,2008-12-12,2010-01-16,Active
FU-14258060,220,117,2018-12-07,2019-12-14,Active
HI-30453625,346,211,2004-12-01,2005-11-23,Active
XY-20512252,370,342,2025-05-02,2026-06-01,Active
WB-64604685,425,299,2000-02-29,2001-03-09,Navigation or communication equipment failure
EB-93558764,419,265,2009-11-26,2010-11-09,Active
CK-63720673,483,295,1996-11-12,1997-12-09,Active
KC-94422928,315,167,2018-08-11,2019-09-03,Active
FX-29491330,479,343,2017-04-17,2018-03-23,Active
UE-04236178,260,285,1996-11-24,1997-11-01,Active
EH-45940805,440,289,1999-04-28,2000-03-26,Active
XA-34956019,225,339,1999-05-17,2000-04-27,Active
NM-31656566,156,105,2000-07-16,2001-06-29,Active
ZO-26305226,175,227,2005-05-01,2006-04-21,Active
XS-88429395,132,301,2007-12-26,2009-02-08,Violation of weight or fuel regulations
HJ-02790913,283,116,2019-11-18,2020-12-04,Active
ZQ-55858687,292,127,1999-11-23,2000-11-26,Active
XD-80536734,229,113,2017-10-11,2018-10-29,Active
PR-63840093,116,299,2002-10-02,2003-10-02,Active
PJ-21397651,197,387,2007-08-23,2008-07-12,Active
XU-83647600,228,198,2010-12-31,2012-02-22,Active
DW-89404819,441,272,2022-07-12,2023-08-04,Active
DG-11502274,406,293,2019-12-28,2021-01-24,Active
DI-47116781,248,131,2010-09-27,2011-08-28,Active
TL-23989201,358,258,2023-02-04,2024-01-08,Active
MI-39925153,106,235,2005-08-02,2006-08-26,Active
XQ-64173383,360,309,1997-03-25,1998-03-31,Active
DP-07317633,147,333,2012-01-09,2013-02-08,Active
US-32422821,170,116,2017-03-26,2018-03-04,Active
WC-66913228,101,395,2018-10-22,2019-12-16,Active
MT-96550454,487,104,1997-05-05,1998-06-30,Active
KX-50948486,126,380,2010-09-29,2011-08-02,Active
UC-53989783,293,385,2007-03-16,2008-02-14,Active
ZR-46718129,290,332,2015-01-26,2015-12-16,Active
HL-57739129,152,100,2016-07-20,2017-09-12,Active
PD-88146395,498,221,2014-08-25,2015-08-20,Active
HB-37292089,341,300,1996-01-12,1996-12-27,Active
CA-14073277,371,210,2010-03-12,2011-02-11,Active
WG-58651009,261,304,2020-11-05,2021-10-10,Active
ZV-12193000,471,244,1998-11-24,1999-10-19,Improperly repaired after an incident
VF-51843396,385,143,2001-12-11,2002-12-03,Active
JD-62200878,398,203,2008-02-28,2009-04-13,Active
WL-44154665,172,175,2015-11-25,2017-01-03,Active
NX-05862376,224,335,2023-09-30,2024-10-01,Active
NO-87655320,196,381,2008-05-15,2009-06-30,Active
PO-48901607,148,134,1996-03-03,1997-02-05,Active
TA-18161054,328,102,2017-11-11,2018-11-07,Active
KI-72957000,431,273,1995-11-19,1996-10-01,Installation of non-compliant equipment
SU-39272487,209,211,2009-04-06,2010-03-04,Active
AV-00415412,409,362,2001-12-14,2003-01-30,Active
YT-00510136,447,127,2012-09-13,2013-08-09,Active
GU-83232058,149,119,2010-06-28,2011-07-26,Active
ED-39713955,157,120,2008-02-09,2009-04-02,Active
BI-60585586,190,399,2006-01-07,2006-11-27,Active
XU-16809676,252,250,2002-01-13,2002-12-29,Active
XK-88125881,316,106,2023-12-24,2025-02-06,Active
VJ-94475885,243,373,2019-06-24,2020-07-20,Active
ED-95099976,135,257,2011-04-25,2012-06-18,Active
VO-37920220,285,211,2017-11-09,2018-11-05,Active
EA-93011523,471,367,2005-06-03,2006-04-06,Active
WN-53422502,422,150,2016-02-04,2017-03-07,Active
ZW-98563696,207,207,2016-07-22,2017-08-15,Active
ND-07863588,308,100,2003-07-28,2004-07-21,Active
PK-19568153,495,347,2008-11-20,2009-11-04,Active
GW-36604680,468,152,2009-04-27,2010-03-13,Active
