AircraftID,RegistrationNumber,ICAOTypeCode,Model,Manufacturer,FlightStatus,OwnerAirlineID,CreatedAt,UpdatedAt
50,EV-98495668,A342,Airbus A340-200,Airbus,Maintenance,73,1747301388,1747301388
51,RN-15547197,AN72,Antonov An-72 / An-74,Antonov,Active,5,1747301388,1747301388
52,XZ-72778891,A19N,Airbus A319neo,Airbus,Maintenance,289,1747301388,1747301388
53,OT-31351434,A306,Airbus A300-600,Airbus,Maintenance,41,1747301388,1747301388
54,FD-68300855,A225,Antonov An-225 Mriya,Antonov,Active,82,1747301388,1747301388
55,RB-06694744,A337,"Airbus A330-700 ""BelugaXL""",Airbus,Active,13,1747301388,1747301388
56,ZB-98239241,A140,Antonov An-140,Antonov,Active,373,1747301388,1747301388
57,GC-83952775,A338,Airbus A330-800,Airbus,Maintenance,346,1747301388,1747301388
58,CH-12417022,A148,Antonov An-148,Antonov,Active,41,1747301388,1747301388
59,XI-32215959,AN24,Antonov An-24,Antonov,Active,154,1747301388,1747301388
60,NK-99359022,A748,Hawker Siddeley HS 748,Hawker,Active,181,1747301388,1747301388
61,VE-69752377,B3XM,Boeing 737 MAX 10,Boeing,Maintenance,13,1747301388,1747301388
62,XJ-91854211,AN30,Antonov An-30,Antonov,Active,640,1747301388,1747301388
63,PV-02670119,A400,Airbus A400M Atlas,Airbus,Maintenance,468,1747301388,1747301388
64,YY-89029769,A19N,Airbus A319neo,Airbus,Active,578,1747301388,1747301388
65,YS-83655105,A320,Airbus A320,Airbus,Active,439,1747301388,1747301388
66,CU-39647115,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,Maintenance,151,1747301388,1747301388
67,VA-26712402,A338,Airbus A330-800,Airbus,Maintenance,50,1747301388,1747301388
68,NA-53096797,A332,Airbus A330-200,Airbus,Active,183,1747301388,1747301388
69,IH-14294365,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,Maintenance,116,1747301388,1747301388
70,XV-64500616,A359,Airbus A350-900,Airbus,Maintenance,322,1747301388,1747301388
71,UM-70134811,A140,Antonov An-140,Antonov,Maintenance,109,1747301388,1747301388
72,WA-42841385,A388,Airbus A380-800,Airbus,Active,481,1747301388,1747301388
73,DL-22728259,AN12,Antonov An-12,Antonov,Maintenance,454,1747301388,1747301388
74,BU-11856154,AN30,Antonov An-30,Antonov,Active,511,1747301388,1747301388
75,UY-75473633,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,Maintenance,50,1747301388,1747301388
76,VU-37616488,B190,Beechcraft 1900,Beechcraft,Active,467,1747301388,1747301388
77,EH-05852147,AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,Maintenance,57,1747301388,1747301388
78,WD-11602373,AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,Maintenance,68,1747301388,1747301388
79,XE-39932224,AN12,Antonov An-12,Antonov,Maintenance,564,1747301388,1747301388
80,PY-10623832,AN30,Antonov An-30,Antonov,Active,109,1747301388,1747301388
81,ZF-19471275,A748,Hawker Siddeley HS 748,Hawker,Maintenance,192,1747301388,1747301388
82,YP-00023833,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,Maintenance,187,1747301388,1747301388
83,UC-82836033,AN72,Antonov An-72 / An-74,Antonov,Maintenance,191,1747301388,1747301388
84,GF-27803821,A332,Airbus A330-200,Airbus,Maintenance,100,1747301388,1747301388
85,QQ-03044002,AN24,Antonov An-24,Antonov,Maintenance,607,1747301388,1747301388
86,RB-71473778,B190,Beechcraft 1900,Beechcraft,Active,239,1747301388,1747301388
87,QJ-87764677,A225,Antonov An-225 Mriya,Antonov,Active,218,1747301388,1747301388
88,IX-13609928,A306,Airbus A300-600,Airbus,Active,190,1747301388,1747301388
89,MW-07718274,AN12,Antonov An-12,Antonov,Maintenance,83,1747301388,1747301388
90,LL-73012504,AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,Maintenance,225,1747301388,1747301388
91,XC-98419170,A35K,Airbus A350-1000,Airbus,Active,19,1747301388,1747301388
92,HH-11062294,A148,Antonov An-148,Antonov,Active,93,1747301388,1747301388
93,ZE-10654764,A306,Airbus A300-600,Airbus,Maintenance,85,1747301388,1747301388
94,BN-96772632,A19N,Airbus A319neo,Airbus,Active,49,1747301388,1747301388
95,PS-06489553,A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,Active,481,1747301388,1747301388
96,VQ-76511991,A333,Airbus A330-300,Airbus,Active,335,1747301388,1747301388
97,KK-46209732,AN28,Antonov An-28,Antonov,Maintenance,301,1747301388,1747301388
98,QU-68139801,A748,Hawker Siddeley HS 748,Hawker,Maintenance,271,1747301388,1747301388
99,SJ-83525592,AT72,Aerospatiale/Alenia ATR 72-201/-202,Aerospatiale/Alenia,Maintenance,425,1747301388,1747301388
100,ZL-41461003,A333,Airbus A330-300,Airbus,Maintenance,136,1747301388,1747301388
101,EM-81514818,A345,Airbus A340-500,Airbus,Maintenance,326,1747301388,1747301388
102,UW-99133787,AN30,Antonov An-30,Antonov,Active,537,1747301388,1747301388
103,PY-36723206,AN12,Antonov An-12,Antonov,Maintenance,216,1747301388,1747301388
104,EK-28714745,A400,Airbus A400M Atlas,Airbus,Maintenance,27,1747301388,1747301388
105,NW-37418367,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,Maintenance,20,1747301388,1747301388
106,OB-15336185,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,Active,318,1747301388,1747301388
107,DO-34345166,B190,Beechcraft 1900,Beechcraft,Active,126,1747301388,1747301388
108,OV-02909481,A19N,Airbus A319neo,Airbus,Maintenance,169,1747301388,1747301388
109,EW-01059707,AN72,Antonov An-72 / An-74,Antonov,Active,281,1747301388,1747301388
110,VH-13610462,A333,Airbus A330-300,Airbus,Maintenance,11,1747301388,1747301388
111,DO-21379490,A345,Airbus A340-500,Airbus,Active,112,1747301388,1747301388
112,WK-71114633,AN26,Antonov An-26,Antonov,Maintenance,581,1747301388,1747301388
113,DV-15763238,A345,Airbus A340-500,Airbus,Active,80,1747301388,1747301388
114,HN-76760593,A319,Airbus A319,Airbus,Maintenance,71,1747301388,1747301388
115,DL-71494565,AN72,Antonov An-72 / An-74,Antonov,Maintenance,659,1747301388,1747301388
116,OJ-81880189,A342,Airbus A340-200,Airbus,Active,73,1747301388,1747301388
117,YU-24182075,A333,Airbus A330-300,Airbus,Maintenance,337,1747301388,1747301388
118,GZ-97249545,A306,Airbus A300-600,Airbus,Maintenance,492,1747301388,1747301388
119,MO-08330515,AN30,Antonov An-30,Antonov,Active,582,1747301388,1747301388
120,AB-72511838,B190,Beechcraft 1900,Beechcraft,Maintenance,476,1747301388,1747301388
121,OW-28827130,AN72,Antonov An-72 / An-74,Antonov,Maintenance,108,1747301388,1747301388
122,HW-19570887,A158,Antonov An-158,Antonov,Active,293,1747301388,1747301388
123,CQ-84191857,AN26,Antonov An-26,Antonov,Maintenance,229,1747301388,1747301388
124,GO-86045899,A20N,Airbus A320neo,Airbus,Maintenance,316,1747301388,1747301388
125,VP-99996595,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,Active,27,1747301388,1747301388
126,YL-64535072,AT72,Aerospatiale/Alenia ATR 72-201/-202,Aerospatiale/Alenia,Maintenance,276,1747301388,1747301388
127,UC-93431825,A20N,Airbus A320neo,Airbus,Active,302,1747301388,1747301388
128,BC-69906671,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,Active,164,1747301388,1747301388
129,EI-52621675,A339,Airbus A330-900,Airbus,Maintenance,467,1747301388,1747301388
130,VW-12746846,AN30,Antonov An-30,Antonov,Active,170,1747301388,1747301388
131,MV-56435677,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,Maintenance,215,1747301388,1747301388
132,UC-97358873,A19N,Airbus A319neo,Airbus,Maintenance,211,1747301388,1747301388
133,KA-11857535,A321,Airbus A321,Airbus,Active,252,1747301388,1747301388
134,CK-99431220,A388,Airbus A380-800,Airbus,Active,80,1747301388,1747301388
135,ZR-71906111,A319,Airbus A319,Airbus,Maintenance,444,1747301388,1747301388
136,UM-82839633,A333,Airbus A330-300,Airbus,Maintenance,373,1747301388,1747301388
137,CF-46759895,A388,Airbus A380-800,Airbus,Maintenance,652,1747301388,1747301388
138,MX-10240973,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,Maintenance,388,1747301388,1747301388
139,KS-56286426,AN28,Antonov An-28,Antonov,Active,574,1747301388,1747301388
140,IK-51468753,A345,Airbus A340-500,Airbus,Active,217,1747301388,1747301388
141,IR-48760723,A310,Airbus A310-200,Airbus,Maintenance,12,1747301388,1747301388
142,HJ-19679623,AN28,Antonov An-28,Antonov,Maintenance,651,1747301388,1747301388
143,TB-81293315,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,Maintenance,50,1747301388,1747301388
144,TO-13356401,AJ27,Comac ARJ21-700 / C909,Comac,Active,598,1747301388,1747301388
145,PW-24469504,A140,Antonov An-140,Antonov,Active,10,1747301388,1747301388
146,MR-88345365,A748,Hawker Siddeley HS 748,Hawker,Active,278,1747301388,1747301388
147,SV-41127522,AN30,Antonov An-30,Antonov,Active,62,1747301388,1747301388
148,PM-78070245,A306,Airbus A300-600,Airbus,Active,308,1747301388,1747301388
149,ST-47016920,AN30,Antonov An-30,Antonov,Active,565,1747301388,1747301388
150,WA-50510857,AN30,Antonov An-30,Antonov,Maintenance,145,1747301388,1747301388
151,PK-20347945,A306,Airbus A300-600,Airbus,Active,139,1747301388,1747301388
152,UP-68246607,AN28,Antonov An-28,Antonov,Maintenance,356,1747301388,1747301388
153,PN-33890643,B190,Beechcraft 1900,Beechcraft,Maintenance,371,1747301388,1747301388
154,NA-29978431,A748,Hawker Siddeley HS 748,Hawker,Active,511,1747301388,1747301388
155,RU-79830146,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,Active,591,1747301388,1747301388
156,LN-59481316,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,Maintenance,66,1747301388,1747301388
157,KR-46298064,ATP,British Aerospace ATP,British,Maintenance,537,1747301388,1747301388
158,TF-88751393,A318,Airbus A318,Airbus,Active,84,1747301388,1747301388
159,XU-70156156,A320,Airbus A320,Airbus,Active,48,1747301388,1747301388
160,WZ-24148911,A225,Antonov An-225 Mriya,Antonov,Active,2,1747301388,1747301388
161,BR-99370256,A400,Airbus A400M Atlas,Airbus,Active,67,1747301388,1747301388
162,KI-88893123,AN72,Antonov An-72 / An-74,Antonov,Maintenance,195,1747301388,1747301388
163,RD-63858422,AN24,Antonov An-24,Antonov,Active,149,1747301388,1747301388
164,PQ-23367268,A337,"Airbus A330-700 ""BelugaXL""",Airbus,Maintenance,192,1747301388,1747301388
165,OA-22410973,A319,Airbus A319,Airbus,Active,241,1747301388,1747301388
166,JS-77028238,B39M,Boeing 737 MAX 9,Boeing,Maintenance,187,1747301388,1747301388
167,PF-52384460,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,Active,74,1747301388,1747301388
168,UV-34337243,AN28,Antonov An-28,Antonov,Maintenance,78,1747301388,1747301388
169,PQ-05048264,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,Active,364,1747301388,1747301388
170,TX-51095272,A332,Airbus A330-200,Airbus,Maintenance,9,1747301388,1747301388
171,DE-37401671,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,Maintenance,343,1747301388,1747301388
172,MS-04278168,ATP,British Aerospace ATP,British,Maintenance,14,1747301388,1747301388
173,NA-15188149,A140,Antonov An-140,Antonov,Active,74,1747301388,1747301388
174,GS-26760594,A345,Airbus A340-500,Airbus,Maintenance,194,1747301388,1747301388
175,NU-25020934,A19N,Airbus A319neo,Airbus,Active,655,1747301388,1747301388
176,NI-66519125,AN30,Antonov An-30,Antonov,Maintenance,384,1747301388,1747301388
177,FM-92384758,A332,Airbus A330-200,Airbus,Maintenance,29,1747301388,1747301388
178,CM-89235070,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,Maintenance,121,1747301388,1747301388
179,UG-07267005,AN32,Antonov An-32,Antonov,Maintenance,592,1747301388,1747301388
180,WP-99104373,B190,Beechcraft 1900,Beechcraft,Maintenance,43,1747301388,1747301388
181,TG-22061692,A321,Airbus A321,Airbus,Active,449,1747301388,1747301388
182,VH-48292393,A388,Airbus A380-800,Airbus,Active,372,1747301388,1747301388
183,CF-42499160,AN32,Antonov An-32,Antonov,Active,306,1747301388,1747301388
184,RQ-37707175,A21N,Airbus A321neo,Airbus,Active,54,1747301388,1747301388
185,LN-05619064,A359,Airbus A350-900,Airbus,Maintenance,182,1747301388,1747301388
186,DQ-99551052,A337,"Airbus A330-700 ""BelugaXL""",Airbus,Maintenance,380,1747301388,1747301388
187,WN-10000412,A359,Airbus A350-900,Airbus,Maintenance,245,1747301388,1747301388
188,SB-02458403,AN32,Antonov An-32,Antonov,Maintenance,291,1747301388,1747301388
189,KT-70941449,A388,Airbus A380-800,Airbus,Active,397,1747301388,1747301388
190,ES-43815211,A320,Airbus A320,Airbus,Maintenance,13,1747301388,1747301388
191,QO-60032056,AN24,Antonov An-24,Antonov,Active,341,1747301388,1747301388
192,IH-99089579,A343,Airbus A340-300,Airbus,Active,497,1747301388,1747301388
193,HA-78241554,AJ27,Comac ARJ21-700 / C909,Comac,Active,110,1747301388,1747301388
194,KT-04715758,A319,Airbus A319,Airbus,Maintenance,223,1747301388,1747301388
195,PL-87465883,B38M,Boeing 737 MAX 8,Boeing,Maintenance,259,1747301388,1747301388
196,QY-97402347,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,Active,191,1747301388,1747301388
197,CS-66608395,B3XM,Boeing 737 MAX 10,Boeing,Active,38,1747301388,1747301388
198,OF-05618539,A148,Antonov An-148,Antonov,Maintenance,385,1747301388,1747301388
199,BX-15239571,A337,"Airbus A330-700 ""BelugaXL""",Airbus,Active,485,1747301388,1747301388
200,OS-47140195,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,Active,58,1747301388,1747301388
201,UQ-47926034,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,Active,474,1747301388,1747301388
202,DD-78963226,AJ27,Comac ARJ21-700 / C909,Comac,Maintenance,163,1747301388,1747301388
203,AH-09880407,B38M,Boeing 737 MAX 8,Boeing,Maintenance,117,1747301388,1747301388
204,RH-04318199,B39M,Boeing 737 MAX 9,Boeing,Active,212,1747301388,1747301388
205,TS-96788290,ATP,British Aerospace ATP,British,Maintenance,448,1747301388,1747301388
206,IV-18571467,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,Active,5,1747301388,1747301388
207,PN-09731928,B190,Beechcraft 1900,Beechcraft,Maintenance,89,1747301388,1747301388
208,EE-98889592,A319,Airbus A319,Airbus,Active,307,1747301388,1747301388
209,VU-49703797,AT75,Aerospatiale/Alenia ATR 72-212A (500),Aerospatiale/Alenia,Maintenance,51,1747301388,1747301388
210,MK-46139928,A339,Airbus A330-900,Airbus,Active,445,1747301388,1747301388
211,IT-35316829,A748,Hawker Siddeley HS 748,Hawker,Active,145,1747301388,1747301388
212,JM-08166272,AT46,Aerospatiale/Alenia ATR 42-600,Aerospatiale/Alenia,Maintenance,57,1747301388,1747301388
213,RS-38621647,AN30,Antonov An-30,Antonov,Active,311,1747301388,1747301388
214,TJ-31687123,AN30,Antonov An-30,Antonov,Maintenance,113,1747301388,1747301388
215,VG-60299611,B37M,Boeing 737 MAX 7,Boeing,Maintenance,654,1747301388,1747301388
216,PH-46752894,AN24,Antonov An-24,Antonov,Maintenance,40,1747301388,1747301388
217,GJ-73510992,A345,Airbus A340-500,Airbus,Active,65,1747301388,1747301388
218,MF-32317327,AT72,Aerospatiale/Alenia ATR 72-201/-202,Aerospatiale/Alenia,Maintenance,479,1747301388,1747301388
219,YE-66451328,AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690,Gulfstream/Rockwell,Active,111,1747301388,1747301388
220,ZR-74388927,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,Maintenance,154,1747301388,1747301388
221,LA-11363468,A332,Airbus A330-200,Airbus,Active,296,1747301388,1747301388
222,TS-38620079,AN12,Antonov An-12,Antonov,Active,393,1747301388,1747301388
223,AB-16985773,A140,Antonov An-140,Antonov,Active,490,1747301388,1747301388
224,UL-35871641,B39M,Boeing 737 MAX 9,Boeing,Active,244,1747301388,1747301388
225,AS-31700353,A346,Airbus A340-600,Airbus,Maintenance,501,1747301388,1747301388
226,RG-54097691,B37M,Boeing 737 MAX 7,Boeing,Active,446,1747301388,1747301388
227,ZP-87532323,A306,Airbus A300-600,Airbus,Active,467,1747301388,1747301388
228,XK-68424803,AJ27,Comac ARJ21-700 / C909,Comac,Maintenance,519,1747301388,1747301388
229,PG-46061327,A359,Airbus A350-900,Airbus,Maintenance,97,1747301388,1747301388
230,UG-89527501,B3XM,Boeing 737 MAX 10,Boeing,Maintenance,35,1747301388,1747301388
231,UI-56881297,A310,Airbus A310-200,Airbus,Maintenance,594,1747301388,1747301388
232,TE-71321386,AN30,Antonov An-30,Antonov,Active,430,1747301388,1747301388
233,RX-12393423,A337,"Airbus A330-700 ""BelugaXL""",Airbus,Maintenance,53,1747301388,1747301388
234,NL-67090011,AN30,Antonov An-30,Antonov,Active,19,1747301388,1747301388
235,HB-86061203,A140,Antonov An-140,Antonov,Maintenance,132,1747301388,1747301388
236,NW-01228082,AN12,Antonov An-12,Antonov,Maintenance,284,1747301388,1747301388
237,II-56204819,B38M,Boeing 737 MAX 8,Boeing,Maintenance,219,1747301388,1747301388
238,QG-14905772,A345,Airbus A340-500,Airbus,Active,594,1747301388,1747301388
239,GB-51146418,AT76,Aerospatiale/Alenia ATR 72-212A (600),Aerospatiale/Alenia,Maintenance,289,1747301388,1747301388
240,FI-18231383,A321,Airbus A321,Airbus,Maintenance,179,1747301388,1747301388
241,TY-16930452,AT76,Aerospatiale/Alenia ATR 72-212A (600),Aerospatiale/Alenia,Maintenance,309,1747301388,1747301388
242,RU-65871032,AN32,Antonov An-32,Antonov,Active,338,1747301388,1747301388
243,GB-39954816,AN30,Antonov An-30,Antonov,Maintenance,130,1747301388,1747301388
244,AB-77238778,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,Active,291,1747301388,1747301388
245,DN-05178008,AT45,Aerospatiale/Alenia ATR 42-500,Aerospatiale/Alenia,Active,550,1747301388,1747301388
246,CS-02601871,AN72,Antonov An-72 / An-74,Antonov,Maintenance,213,1747301388,1747301388
247,UD-85712750,A346,Airbus A340-600,Airbus,Maintenance,502,1747301388,1747301388
248,CS-79647099,ATP,British Aerospace ATP,British,Maintenance,141,1747301388,1747301388
249,QZ-01568737,AN28,Antonov An-28,Antonov,Maintenance,95,1747301388,1747301388
250,VT-62802551,A310,Airbus A310-200,Airbus,Active,12,1747301388,1747301388
251,VO-85123303,A19N,Airbus A319neo,Airbus,Active,265,1747301388,1747301388
252,KD-80777632,A388,Airbus A380-800,Airbus,Active,271,1747301388,1747301388
253,JU-89894061,A332,Airbus A330-200,Airbus,Maintenance,297,1747301388,1747301388
254,WW-53760455,A388,Airbus A380-800,Airbus,Active,143,1747301388,1747301388
255,UD-81649642,A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,Active,395,1747301388,1747301388
256,BR-23583392,A19N,Airbus A319neo,Airbus,Maintenance,494,1747301388,1747301388
257,YX-59804749,AT73,Aerospatiale/Alenia ATR 72-211/-212,Aerospatiale/Alenia,Active,99,1747301388,1747301388
258,EM-63240068,AN72,Antonov An-72 / An-74,Antonov,Active,218,1747301388,1747301388
259,DI-87068408,AJ27,Comac ARJ21-700 / C909,Comac,Maintenance,479,1747301388,1747301388
260,SB-77593790,A339,Airbus A330-900,Airbus,Maintenance,9,1747301388,1747301388
261,BS-80771102,A21N,Airbus A321neo,Airbus,Maintenance,625,1747301388,1747301388
262,PH-01217151,A148,Antonov An-148,Antonov,Maintenance,123,1747301388,1747301388
263,GE-25269238,A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga""",Airbus,Maintenance,85,1747301388,1747301388
264,TE-12693073,A748,Hawker Siddeley HS 748,Hawker,Active,64,1747301388,1747301388
265,AK-10500503,A19N,Airbus A319neo,Airbus,Maintenance,200,1747301388,1747301388
266,YT-30897453,A338,Airbus A330-800,Airbus,Maintenance,346,1747301388,1747301388
267,AM-66698526,AN30,Antonov An-30,Antonov,Maintenance,522,1747301388,1747301388
268,BD-62759357,A338,Airbus A330-800,Airbus,Maintenance,443,1747301388,1747301388
269,CC-72753644,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,Maintenance,16,1747301388,1747301388
270,ME-07960648,AN30,Antonov An-30,Antonov,Maintenance,117,1747301388,1747301388
271,ZS-54320531,AN12,Antonov An-12,Antonov,Maintenance,173,1747301388,1747301388
272,OI-31900110,A19N,Airbus A319neo,Airbus,Maintenance,587,1747301388,1747301388
273,NJ-99300102,A148,Antonov An-148,Antonov,Maintenance,377,1747301388,1747301388
274,QN-54813363,AN28,Antonov An-28,Antonov,Active,225,1747301388,1747301388
275,EZ-49788684,A306,Airbus A300-600,Airbus,Active,478,1747301388,1747301388
276,OP-68501087,AN26,Antonov An-26,Antonov,Maintenance,649,1747301388,1747301388
277,MY-56672844,A342,Airbus A340-200,Airbus,Maintenance,315,1747301388,1747301388
278,AY-01203320,B38M,Boeing 737 MAX 8,Boeing,Active,247,1747301388,1747301388
279,NZ-48709589,A321,Airbus A321,Airbus,Active,607,1747301388,1747301388
280,AH-99402117,AN24,Antonov An-24,Antonov,Maintenance,67,1747301388,1747301388
281,NS-36888880,AT76,Aerospatiale/Alenia ATR 72-212A (600),Aerospatiale/Alenia,Maintenance,163,1747301388,1747301388
282,ZA-05144403,A400,Airbus A400M Atlas,Airbus,Maintenance,121,1747301388,1747301388
283,JL-62006356,A342,Airbus A340-200,Airbus,Maintenance,608,1747301388,1747301388
284,RJ-78094705,AN26,Antonov An-26,Antonov,Active,274,1747301388,1747301388
285,QV-86768503,A337,"Airbus A330-700 ""BelugaXL""",Airbus,Active,571,1747301388,1747301388
286,GL-69532917,A400,Airbus A400M Atlas,Airbus,Maintenance,77,1747301388,1747301388
287,EU-53504405,AT43,Aerospatiale/Alenia ATR 42-300 / 320,Aerospatiale/Alenia,Active,355,1747301388,1747301388
288,RO-37429171,A333,Airbus A330-300,Airbus,Active,561,1747301388,1747301388
289,JE-87889751,A321,Airbus A321,Airbus,Active,341,1747301388,1747301388
290,AI-13353863,B3XM,Boeing 737 MAX 10,Boeing,Active,86,1747301388,1747301388
291,MT-58853839,A342,Airbus A340-200,Airbus,Active,370,1747301388,1747301388
